param,mean,sd,cv,sen,ela,cont100,quant
alpha,3.3283928067119546,0.9105802880504547,0.259015096950429,3.0831233731286174,0.03,-0.017189465814599278,0.16
beta0,349.57874071707977,57.09556054648265,0.1580304360381624,0.8919736780533749,0.92,0.38848619814337054,0.16
par_0,257.2912986117044,343.07154510817844,1.3333973863839474,0.04724693225261872,0.03,0.05187837041467998,0.16
temp_0,12.49876404494382,1.8458706009312198,0.14768425056219361,21.248571180171364,0.75,0.23229007729164997,0.16
alpha,3.6311784899584594,1.288917826962445,0.35584208537851764,5.252359916642359,0.05,-0.0048786722565048075,0.5
beta0,362.71290568880556,68.259143693344285,0.1889704999095423,0.9159887749370546,0.95,0.5140701305665526,0.5
par_0,257.2912986117044,343.07154510817844,1.3333973863839474,0.07309420603941924,0.05,0.11003210058745158,0.5
temp_0,12.49876404494382,1.8458706009312198,0.14768425056219361,27.494523798643968,0.98,0.35082764937847516,0.5
alpha,4.002311234422379,1.7740366885337253,0.46015718434792446,7.935930362765721,0.08,0.008949744893991338,0.84
beta0,374.3827881061363,78.81283628039104,0.21861133761441864,0.9386494269545729,0.97,0.6322792871983869,0.84
par_0,257.2912986117044,343.07154510817844,1.3333973863839474,0.10316020754838026,0.08,0.208464168678902,0.84
temp_0,12.49876404494382,1.8458706009312198,0.14768425056219361,33.64472192137823,1.21,0.4925101396684875,0.84
