gamma_1,gamma_2,k0,k1,sig_beta0,sig_alpha,sig_rho,sig_proc,lp__,chain,step
1.0908336507364558,1.1521848801732364,2.959406188351282,0.3414007705054848,0.061359108992675604,0.11624768495861887,0.0017000487605860707,86.94005232589186,-6807.077204324283,1,1
1.115270935642586,1.1330048445058418,3.5512456280319142,0.31695840099833333,0.06719061976370079,0.139134439940805,0.08115296413258198,89.55340800920207,-6808.332204506028,1,2
1.059336126573963,1.0755578225371774,1.488955586566976,0.5094184055097126,0.05781898750051283,0.03038732591510096,0.02522669870030598,89.34065514388753,-6857.725308950387,1,3
1.1369356333625837,1.1435777116675736,3.2360724007065342,0.32668682562673396,0.09758464031741207,0.010460930674142797,0.07494375909025949,88.84860424223127,-6822.897448571798,1,4
1.0655968527852042,1.1312495205423119,3.023905025686778,0.4703507414012925,0.03673922763320545,0.012009926043041732,0.033089949640113296,88.25729304146496,-6796.815587494642,1,5
1.1379281486390782,1.2062963963397313,4.124067269104396,0.3166407081879009,0.03367097727408381,0.13171091841060603,0.028362637222431306,92.46994299242405,-6827.678697741293,1,6
1.1088482399130564,1.0660132981550556,2.581043529325122,0.48749846649708606,0.032207325112906006,0.06879405268893192,4.7695201592606943e-4,89.22445329718524,-6849.698257989759,1,7
1.0891187411177026,1.1086348051195598,3.1238975437167564,0.3829897296031413,0.049511060942404914,0.13748534459924203,0.005410117345938009,87.71872132926738,-6836.333907975836,1,8
1.026473069643864,1.0396114879277116,1.1221031830856505,0.3901911786074772,0.019564536188276214,0.04267860401692235,0.00224959988107126,92.08683319040563,-6818.205017308561,1,9
1.0587176650887176,1.0949261752882529,4.655763482493881,0.42008132836884,0.06995892920286874,0.036270790957535125,0.08236441003847712,88.48324386999869,-6784.552794607403,1,10
1.0574632622699598,1.1329825817083825,1.5792907800881626,0.4589296784026341,0.06247312560627842,0.028494417693829592,0.043928479040456,88.62853932775936,-6808.830927587175,1,11
1.1420030160972545,1.154637670834742,2.2957640435120217,0.4043369950365895,0.026461016316492,0.07795264530723142,0.060443951420303475,89.09038897184811,-6763.427269401697,1,12
