gamma_1,gamma_2,k0,k1,sig_beta0,sig_alpha,sig_rho,sig_proc,lp__,chain,step
1.0381499788386472,1.0562114307936064,3.8328259012763946,0.4040287195818149,0.007701244738115246,0.013637775028905886,0.01268812267141967,87.11107334990298,-6791.442808897334,1,1
1.0994916344824006,1.1904894531135972,2.178154402380968,0.375116496884866,0.003453441964466253,0.045643941928678676,0.002454795120956255,91.91727737331048,-6799.640809641266,1,2
1.1104215102505808,1.1499890099570513,3.294627993398189,0.3932941050130995,0.034053013221469655,0.022399894316378087,0.04181646395795104,88.0086851096684,-6842.698296581802,1,3
1.0882341297103073,1.138182149821641,4.5705375878867365,0.40674507744121646,0.0325322026296615,0.008322462134759068,0.027889067920170936,90.38463657147041,-6802.622804134412,1,4
1.1056236062352005,1.1545249804108235,2.360837340010893,0.42397783447698695,0.004762848549930273,0.007636141162044755,0.006432360142735584,89.09986767921495,-6796.373558239418,1,5
1.0918525440199407,1.0840507579995373,3.4538641941439683,0.42628774409618986,0.03290840714407539,0.007664954876973942,0.055332810709020214,89.95998221903696,-6802.772188493498,1,6
1.0614125108947268,1.1635966421345885,2.6590601162709877,0.4622920309555171,0.027698819367493584,0.11143352801726875,0.009993826466944487,88.70723237846221,-6814.773802791847,1,7
1.103427651206379,1.1216869187260183,4.257869106232786,0.3519428444948253,0.003777626976142703,0.06442789348845311,0.02714290306922812,88.4880594494261,-6821.059475877922,1,8
1.0351117095026892,1.1747545612844548,3.4103416982940526,0.38548106067132737,0.012931754594759353,0.01358747621228951,0.09064595179156323,91.56654348901031,-6809.5305773309,1,9
1.091093730078571,1.1597472656015184,2.8192275645831097,0.5621983521005159,0.008982824927468581,0.019397996209630033,0.01097418082446259,86.26334078117785,-6785.276501160613,1,10
1.1848290266909485,1.1931897678397092,3.724482005856758,0.46227241308075484,0.007428786493374028,0.003468770094625364,0.03911401128041286,91.95414706771368,-6806.4903831794645,1,11
