Plot Title: Sonde Light,,,,,,
#,"Date Time, GMT+00:00","Intensity, Lux (LGR S/N: 10349962, SEN S/N: 10349962)",Coupler Attached (LGR S/N: 10349962),Host Connected (LGR S/N: 10349962),Stopped (LGR S/N: 10349962),End Of File (LGR S/N: 10349962)
1,2013-06-13 12:00:00,462.9,,,,
2,2013-06-13 12:15:00,764.2,,,,
3,2013-06-13 12:30:00,37200.2,,,,
4,2013-06-13 12:45:00,38578,,,,
5,2013-06-13 13:00:00,34444.7,,,,
6,2013-06-13 13:15:00,88178.4,,,,
7,2013-06-13 13:30:00,55111.5,,,,
8,2013-06-13 13:45:00,71644.9,,,,
9,2013-06-13 14:00:00,68889.3,,,,
10,2013-06-13 14:15:00,55111.5,,,,
11,2013-06-13 14:30:00,57867,,,,
12,2013-06-13 14:45:00,55111.5,,,,
13,2013-06-13 15:00:00,46844.8,,,,
14,2013-06-13 15:15:00,33066.9,,,,
15,2013-06-13 15:30:00,33066.9,,,,
16,2013-06-13 15:45:00,79911.6,,,,
17,2013-06-13 16:00:00,63378.2,,,,
18,2013-06-13 16:15:00,88178.4,,,,
19,2013-06-13 16:30:00,88178.4,,,,
20,2013-06-13 16:45:00,77156.1,,,,
21,2013-06-13 17:00:00,66133.8,,,,
22,2013-06-13 17:15:00,46844.8,,,,
23,2013-06-13 17:30:00,44089.2,,,,
24,2013-06-13 17:45:00,46844.8,,,,
25,2013-06-13 18:00:00,46844.8,,,,
26,2013-06-13 18:15:00,35822.5,,,,
27,2013-06-13 18:30:00,37200.2,,,,
28,2013-06-13 18:45:00,33066.9,,,,
29,2013-06-13 19:00:00,27555.7,,,,
30,2013-06-13 19:15:00,28933.5,,,,
31,2013-06-13 19:30:00,24800.2,,,,
32,2013-06-13 19:45:00,27555.7,,,,
33,2013-06-13 20:00:00,24800.2,,,,
34,2013-06-13 20:15:00,22044.6,,,,
35,2013-06-13 20:30:00,16533.4,,,,
36,2013-06-13 20:45:00,17911.2,,,,
37,2013-06-13 21:00:00,12400.1,,,,
38,2013-06-13 21:15:00,11022.3,,,,
39,2013-06-13 21:30:00,10333.4,,,,
40,2013-06-13 21:45:00,9644.5,,,,
41,2013-06-13 22:00:00,8611.2,,,,
42,2013-06-13 22:15:00,6544.5,,,,
43,2013-06-13 22:30:00,5166.7,,,,
44,2013-06-13 22:45:00,8611.2,,,,
45,2013-06-13 23:00:00,4650,,,,
46,2013-06-13 23:15:00,3788.9,,,,
47,2013-06-13 23:30:00,3100,,,,
48,2013-06-13 23:45:00,3616.7,,,,
49,2013-06-14 00:00:00,1463.9,,,,
50,2013-06-14 00:15:00,1011.8,,,,
51,2013-06-14 00:30:00,839.6,,,,
52,2013-06-14 00:45:00,742.7,,,,
53,2013-06-14 01:00:00,688.9,,,,
54,2013-06-14 01:15:00,624.3,,,,
55,2013-06-14 01:30:00,753.5,,,,
56,2013-06-14 01:45:00,796.5,,,,
57,2013-06-14 02:00:00,968.8,,,,
58,2013-06-14 02:15:00,1463.9,,,,
59,2013-06-14 02:30:00,1894.5,,,,
60,2013-06-14 02:45:00,2669.5,,,,
61,2013-06-14 03:00:00,8266.7,,,,
62,2013-06-14 03:15:00,4477.8,,,,
63,2013-06-14 03:30:00,4650,,,,
64,2013-06-14 03:45:00,9644.5,,,,
65,2013-06-14 04:00:00,18600.1,,,,
66,2013-06-14 04:15:00,24800.2,,,,
67,2013-06-14 04:30:00,18600.1,,,,
68,2013-06-14 04:45:00,44089.2,,,,
69,2013-06-14 05:00:00,33066.9,,,,
70,2013-06-14 05:15:00,14466.8,,,,
71,2013-06-14 05:30:00,6544.5,,,,
72,2013-06-14 05:45:00,11022.3,,,,
73,2013-06-14 06:00:00,13777.9,,,,
74,2013-06-14 06:15:00,17222.3,,,,
75,2013-06-14 06:30:00,18600.1,,,,
76,2013-06-14 06:45:00,27555.7,,,,
77,2013-06-14 07:00:00,24800.2,,,,
78,2013-06-14 07:15:00,37200.2,,,,
79,2013-06-14 07:30:00,34444.7,,,,
80,2013-06-14 07:45:00,30311.3,,,,
81,2013-06-14 08:00:00,44089.2,,,,
82,2013-06-14 08:15:00,49600.3,,,,
83,2013-06-14 08:30:00,37200.2,,,,
84,2013-06-14 08:45:00,55111.5,,,,
85,2013-06-14 09:00:00,57867,,,,
