Plot Title: Sonde 2015_2,,,,,,,,
#,"Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517223, SEN S/N: 10517223, LBL: Temp)","Intensity, Lux (LGR S/N: 10517223, SEN S/N: 10517223, LBL: Light)",Coupler Detached (LGR S/N: 10517223),Coupler Attached (LGR S/N: 10517223),Host Connected (LGR S/N: 10517223),Stopped (LGR S/N: 10517223),End Of File (LGR S/N: 10517223)
1,2015-07-11 15:12:33,26.292,0,,,,,
2,2015-07-11 15:13:12,,,Logged,,,,
3,2015-07-11 15:42:33,25.513,150.7,,,,,
4,2015-07-11 16:12:33,25.805,215.3,,,,,
5,2015-07-11 16:42:33,26,161.5,,,,,
6,2015-07-11 17:12:33,25.61,215.3,,,,,
7,2015-07-11 17:42:33,25.125,107.6,,,,,
8,2015-07-11 18:12:33,24.738,150.7,,,,,
9,2015-07-11 18:42:33,24.641,193.8,,,,,
10,2015-07-11 19:12:33,24.641,150.7,,,,,
11,2015-07-11 19:42:33,24.641,86.1,,,,,
12,2015-07-11 20:12:33,24.448,43.1,,,,,
13,2015-07-11 20:42:33,24.448,10.8,,,,,
14,2015-07-11 21:12:33,24.448,10.8,,,,,
15,2015-07-11 21:42:33,24.448,21.5,,,,,
16,2015-07-11 22:12:33,24.448,10.8,,,,,
17,2015-07-11 22:42:33,24.351,10.8,,,,,
18,2015-07-11 23:12:33,24.448,0,,,,,
19,2015-07-11 23:42:33,24.448,0,,,,,
20,2015-07-12 00:12:33,24.448,0,,,,,
21,2015-07-12 00:42:33,24.448,0,,,,,
22,2015-07-12 01:12:33,24.448,0,,,,,
23,2015-07-12 01:42:33,24.448,0,,,,,
24,2015-07-12 02:12:33,24.448,0,,,,,
25,2015-07-12 02:42:33,24.448,0,,,,,
26,2015-07-12 03:12:33,24.448,0,,,,,
27,2015-07-12 03:42:33,24.545,10.8,,,,,
28,2015-07-12 04:12:33,24.545,32.3,,,,,
29,2015-07-12 04:42:33,24.641,64.6,,,,,
30,2015-07-12 05:12:33,24.641,53.8,,,,,
31,2015-07-12 05:42:33,24.641,75.3,,,,,
32,2015-07-12 06:12:33,24.738,118.4,,,,,
33,2015-07-12 06:42:33,24.738,32.3,,,,,
34,2015-07-12 07:12:33,24.738,64.6,,,,,
35,2015-07-12 07:42:33,24.738,118.4,,,,,
36,2015-07-12 08:12:33,24.835,139.9,,,,,
37,2015-07-12 08:42:33,24.931,193.8,,,,,
38,2015-07-12 09:12:33,24.158,301.4,,,,,
39,2015-07-12 09:42:33,17.95,871.9,,,,,
40,2015-07-12 10:12:33,14.23,1097.9,,,,,
41,2015-07-12 10:42:33,12.11,1248.6,,,,,
42,2015-07-12 11:12:33,11.431,1550,,,,,
43,2015-07-12 11:42:33,11.334,1033.3,,,,,
44,2015-07-12 12:12:33,14.804,3788.9,,,,,
45,2015-07-12 12:42:33,18.331,11022.3,,,,,
46,2015-07-12 13:12:33,21.473,9644.5,,,,,
47,2015-07-12 13:42:33,19.758,6544.5,,,,,
48,2015-07-12 14:12:33,18.14,5166.7,,,,,
49,2015-07-12 14:42:33,16.046,4305.6,,,,,
50,2015-07-12 15:12:33,18.996,6544.5,,,,,
51,2015-07-12 15:42:33,20.329,24800.2,,,,,
52,2015-07-12 16:12:33,16.427,3961.1,,,,,
53,2015-07-12 16:42:33,15.664,1894.5,,,,,
54,2015-07-12 17:12:33,12.98,3788.9,,,,,
55,2015-07-12 17:42:33,12.98,2325,,,,,
56,2015-07-12 18:12:33,12.013,1377.8,,,,,
57,2015-07-12 18:42:33,11.625,1636.1,,,,,
58,2015-07-12 19:12:33,11.139,2927.8,,,,,
59,2015-07-12 19:42:33,11.041,2325,,,,,
60,2015-07-12 20:12:33,10.846,1808.3,,,,,
61,2015-07-12 20:42:33,10.357,1108.7,,,,,
62,2015-07-12 21:12:33,10.161,1291.7,,,,,
63,2015-07-12 21:42:33,9.768,635.1,,,,,
64,2015-07-12 22:12:33,9.669,376.7,,,,,
65,2015-07-12 22:42:33,9.275,193.8,,,,,
66,2015-07-12 23:12:33,9.077,64.6,,,,,
67,2015-07-12 23:42:33,9.176,21.5,,,,,
68,2015-07-13 00:12:33,8.978,0,,,,,
69,2015-07-13 00:42:33,8.879,0,,,,,
70,2015-07-13 01:12:33,8.68,0,,,,,
71,2015-07-13 01:42:33,8.978,0,,,,,
72,2015-07-13 02:12:33,8.978,0,,,,,
73,2015-07-13 02:42:33,8.879,0,,,,,
74,2015-07-13 03:12:33,8.879,21.5,,,,,
75,2015-07-13 03:42:33,8.779,32.3,,,,,
76,2015-07-13 04:12:33,8.779,43.1,,,,,
77,2015-07-13 04:42:33,8.879,86.1,,,,,
78,2015-07-13 05:12:33,8.978,258.3,,,,,
