Plot Title: Sonde 2015,,,,,,,
#,"Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517217, SEN S/N: 10517217, LBL: Temp)","Intensity, Lux (LGR S/N: 10517217, SEN S/N: 10517217, LBL: Light Intensity)",Coupler Attached (LGR S/N: 10517217),Host Connected (LGR S/N: 10517217),Stopped (LGR S/N: 10517217),End Of File (LGR S/N: 10517217)
1,2015-05-24 12:12:00,12.787,13777.9,,,,
2,2015-05-24 12:42:00,13.269,8611.2,,,,
3,2015-05-24 13:12:00,15.282,5166.7,,,,
4,2015-05-24 13:42:00,18.045,4822.3,,,,
5,2015-05-24 14:12:00,18.996,4822.3,,,,
6,2015-05-24 14:42:00,19.092,2927.8,,,,
7,2015-05-24 15:12:00,19.377,1636.1,,,,
8,2015-05-24 15:42:00,20.996,2497.2,,,,
9,2015-05-24 16:12:00,21.664,1377.8,,,,
10,2015-05-24 16:42:00,19.662,1980.6,,,,
11,2015-05-24 17:12:00,18.996,1162.5,,,,
12,2015-05-24 17:42:00,17.379,678.1,,,,
13,2015-05-24 18:12:00,15.378,549,,,,
14,2015-05-24 18:42:00,14.038,549,,,,
15,2015-05-24 19:12:00,13.269,430.6,,,,
16,2015-05-24 19:42:00,12.304,559.7,,,,
17,2015-05-24 20:12:00,11.528,355.2,,,,
18,2015-05-24 20:42:00,10.846,322.9,,,,
19,2015-05-24 21:12:00,9.965,258.3,,,,
20,2015-05-24 21:42:00,9.077,226,,,,
21,2015-05-24 22:12:00,7.983,75.3,,,,
22,2015-05-24 22:42:00,7.079,32.3,,,,
23,2015-05-24 23:12:00,6.268,0,,,,
24,2015-05-24 23:42:00,5.552,0,,,,
25,2015-05-25 00:12:00,5.141,0,,,,
26,2015-05-25 00:42:00,4.831,0,,,,
27,2015-05-25 01:12:00,4.623,0,,,,
28,2015-05-25 01:42:00,4.311,0,,,,
29,2015-05-25 02:12:00,4.102,0,,,,
30,2015-05-25 02:42:00,3.893,0,,,,
31,2015-05-25 03:12:00,3.578,0,,,,
32,2015-05-25 03:42:00,3.472,32.3,,,,
33,2015-05-25 04:12:00,3.472,96.9,,,,
34,2015-05-25 04:42:00,3.683,193.8,,,,
35,2015-05-25 05:12:00,4.207,290.6,,,,
36,2015-05-25 05:42:00,4.831,398.3,,,,
37,2015-05-25 06:12:00,5.45,430.6,,,,
38,2015-05-25 06:42:00,6.268,570.5,,,,
39,2015-05-25 07:12:00,7.582,904.2,,,,
40,2015-05-25 07:42:00,9.669,947.2,,,,
41,2015-05-25 08:12:00,11.334,1151.7,,,,
42,2015-05-25 08:42:00,12.497,1463.9,,,,
43,2015-05-25 09:12:00,12.98,2238.9,,,,
44,2015-05-25 09:42:00,15.76,13777.9,,,,
45,2015-05-25 10:12:00,13.654,37200.2,,,,
46,2015-05-25 10:42:00,14.421,38578,,,,
47,2015-05-25 11:12:00,16.523,419.8,,,,
48,2015-05-25 11:42:00,17.95,68889.3,,,,
49,2015-05-25 12:12:00,15.569,38578,,,,
50,2015-05-25 12:42:00,14.613,52355.9,,,,
