Plot Title: Sonde 2016_1,,,,,,,,
#,"Date Time, GMT+00:00","Temp, °C (LGR S/N: 10349968, SEN S/N: 10349968)","Intensity, Lux (LGR S/N: 10349968, SEN S/N: 10349968)",Coupler Attached (LGR S/N: 10349968),Host Connected (LGR S/N: 10349968),Coupler Detached (LGR S/N: 10349968),Stopped (LGR S/N: 10349968),End Of File (LGR S/N: 10349968)
1,2016-05-27 19:00:00,21.855,549,,,,,
2,2016-05-27 19:30:00,21.282,505.9,,,,,
3,2016-05-27 20:00:00,21.473,366,,,,,
4,2016-05-27 20:30:00,21.378,215.3,,,,,
5,2016-05-27 21:00:00,21.282,150.7,,,,,
6,2016-05-27 21:30:00,21.091,86.1,,,,,
7,2016-05-27 22:00:00,20.996,64.6,,,,,
8,2016-05-27 22:30:00,20.901,43.1,,,,,
9,2016-05-27 23:00:00,20.901,21.5,,,,,
10,2016-05-27 23:30:00,20.805,10.8,,,,,
11,2016-05-28 00:00:00,20.71,0,,,,,
12,2016-05-28 00:30:00,20.71,0,,,,,
13,2016-05-28 01:00:00,20.71,0,,,,,
14,2016-05-28 01:30:00,20.71,0,,,,,
15,2016-05-28 02:00:00,20.71,0,,,,,
16,2016-05-28 02:30:00,20.71,10.8,,,,,
17,2016-05-28 03:00:00,20.71,32.3,,,,,
18,2016-05-28 03:30:00,20.805,312.2,,,,,
19,2016-05-28 04:00:00,21.282,1044.1,,,,,
20,2016-05-28 04:30:00,21.664,742.7,,,,,
21,2016-05-28 05:00:00,22.238,1894.5,,,,,
22,2016-05-28 05:30:00,22.908,2497.2,,,,,
23,2016-05-28 06:00:00,24.062,3961.1,,,,,
24,2016-05-28 06:30:00,29.853,19977.9,,,,,
25,2016-05-28 07:00:00,35.542,27555.7,,,,,
26,2016-05-28 07:30:00,32.086,14466.8,,,,,
27,2016-05-28 08:00:00,28.555,5338.9,,,,,
28,2016-05-28 08:30:00,33.118,28933.5,,,,,
29,2016-05-28 09:00:00,38.938,34444.7,,,,,
30,2016-05-28 09:30:00,33.953,1377.8,,,,,
31,2016-05-28 09:33:31,,,Logged,Logged,,,
32,2016-05-28 09:33:59,,,,,Logged,,
33,2016-05-28 10:00:00,28.456,7577.8,,,,,
34,2016-05-28 10:30:00,26.879,7233.4,,,,,
35,2016-05-28 11:00:00,10.357,107.6,,,,,
36,2016-05-28 11:30:00,9.866,118.4,,,,,
37,2016-05-28 12:00:00,9.571,139.9,,,,,
38,2016-05-28 12:30:00,10.651,172.2,,,,,
39,2016-05-28 13:00:00,10.748,193.8,,,,,
40,2016-05-28 13:30:00,12.69,215.3,,,,,
41,2016-05-28 14:00:00,12.11,258.3,,,,,
42,2016-05-28 14:30:00,11.819,333.7,,,,,
43,2016-05-28 15:00:00,11.916,6200,,,,,
44,2016-05-28 15:30:00,12.013,699.7,,,,,
45,2016-05-28 16:00:00,18.14,1119.5,,,,,
46,2016-05-28 16:30:00,12.98,742.7,,,,,
47,2016-05-28 17:00:00,12.304,613.5,,,,,
48,2016-05-28 17:30:00,12.401,581.3,,,,,
49,2016-05-28 18:00:00,12.594,538.2,,,,,
50,2016-05-28 18:30:00,12.497,484.4,,,,,
51,2016-05-28 19:00:00,12.497,430.6,,,,,
52,2016-05-28 19:30:00,12.497,398.3,,,,,
53,2016-05-28 20:00:00,12.304,387.5,,,,,
54,2016-05-28 20:30:00,12.11,366,,,,,
55,2016-05-28 21:00:00,11.916,355.2,,,,,
56,2016-05-28 21:30:00,11.625,269.1,,,,,
57,2016-05-28 22:00:00,11.236,204.5,,,,,
58,2016-05-28 22:30:00,10.748,118.4,,,,,
59,2016-05-28 23:00:00,10.161,43.1,,,,,
60,2016-05-28 23:30:00,9.373,10.8,,,,,
61,2016-05-29 00:00:00,8.978,0,,,,,
62,2016-05-29 00:30:00,8.879,0,,,,,
63,2016-05-29 01:00:00,8.481,0,,,,,
64,2016-05-29 01:30:00,8.182,0,,,,,
65,2016-05-29 02:00:00,7.882,0,,,,,
66,2016-05-29 02:30:00,7.582,0,,,,,
67,2016-05-29 03:00:00,7.179,10.8,,,,,
68,2016-05-29 03:30:00,6.978,10.8,,,,,
69,2016-05-29 04:00:00,6.877,21.5,,,,,
70,2016-05-29 04:30:00,6.775,32.3,,,,,
71,2016-05-29 05:00:00,6.674,53.8,,,,,
72,2016-05-29 05:30:00,6.674,75.3,,,,,
73,2016-05-29 06:00:00,6.775,64.6,,,,,
74,2016-05-29 06:30:00,6.877,107.6,,,,,
75,2016-05-29 07:00:00,6.978,107.6,,,,,
76,2016-05-29 07:30:00,7.179,75.3,,,,,
77,2016-05-29 08:00:00,7.28,96.9,,,,,
78,2016-05-29 08:30:00,7.381,193.8,,,,,
79,2016-05-29 09:00:00,7.682,204.5,,,,,
80,2016-05-29 09:30:00,7.882,150.7,,,,,
81,2016-05-29 10:00:00,12.11,828.8,,,,,
82,2016-05-29 10:30:00,13.365,115734.1,,,,,
83,2016-05-29 11:00:00,19.472,71644.9,,,,,
84,2016-05-29 11:30:00,17.57,23422.4,,,,,
85,2016-05-29 12:00:00,14.038,8266.7,,,,,
86,2016-05-29 12:30:00,37.165,154312.1,,,,,
87,2016-05-29 13:00:00,28.555,154312.1,,,,,
88,2016-05-29 13:30:00,28.555,148801,,,,,
89,2016-05-29 14:00:00,38.379,143289.8,,,,,
90,2016-05-29 14:30:00,28.853,49600.3,,,,,
91,2016-05-29 15:00:00,18.806,110223,,,,,
92,2016-05-29 15:30:00,16.523,110223,,,,,
93,2016-05-29 16:00:00,14.996,143289.8,,,,,
94,2016-05-29 16:30:00,15.187,88178.4,,,,,
95,2016-05-29 17:00:00,16.237,66133.8,,,,,
96,2016-05-29 17:30:00,19.092,82667.2,,,,,
97,2016-05-29 18:00:00,19.853,14466.8,,,,,
98,2016-05-29 18:30:00,13.173,10333.4,,,,,
99,2016-05-29 19:00:00,14.9,19977.9,,,,,
100,2016-05-29 19:30:00,16.999,38578,,,,,
101,2016-05-29 20:00:00,11.431,13089,,,,,
102,2016-05-29 20:30:00,8.581,8611.2,,,,,
103,2016-05-29 21:00:00,7.179,5166.7,,,,,
104,2016-05-29 21:30:00,6.268,3100,,,,,
105,2016-05-29 22:00:00,6.064,1377.8,,,,,
106,2016-05-29 22:30:00,6.268,1227.1,,,,,
107,2016-05-29 23:00:00,6.166,635.1,,,,,
108,2016-05-29 23:30:00,6.064,247.6,,,,,
109,2016-05-30 00:00:00,5.655,96.9,,,,,
110,2016-05-30 00:30:00,5.45,53.8,,,,,
111,2016-05-30 01:00:00,5.244,53.8,,,,,
112,2016-05-30 01:30:00,5.244,32.3,,,,,
113,2016-05-30 02:00:00,5.037,96.9,,,,,
114,2016-05-30 02:30:00,4.934,118.4,,,,,
115,2016-05-30 03:00:00,5.141,247.6,,,,,
116,2016-05-30 03:30:00,5.347,807.3,,,,,
117,2016-05-30 04:00:00,5.45,527.4,,,,,
118,2016-05-30 04:30:00,5.86,2066.7,,,,,
