Plot Title: Incubator_17July2017,,,,,,,,
#,"Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517223, SEN S/N: 10517223, LBL: Temp)","Intensity, Lux (LGR S/N: 10517223, SEN S/N: 10517223, LBL: Light)",Host Connected (LGR S/N: 10517223),Coupler Detached (LGR S/N: 10517223),Coupler Attached (LGR S/N: 10517223),Stopped (LGR S/N: 10517223),End Of File (LGR S/N: 10517223)
1,2017-07-17 09:16:13,21.951,10.8,,,,,
2,2017-07-17 09:16:24,,,Logged,,,,
3,2017-07-17 09:16:26,,,,Logged,,,
4,2017-07-17 09:31:13,22.333,742.7,,,,,
5,2017-07-17 09:46:13,22.046,139.9,,,,,
6,2017-07-17 10:01:13,20.138,11022.3,,,,,
7,2017-07-17 10:16:13,19.377,15155.7,,,,,
8,2017-07-17 10:31:13,18.521,21.5,,,,,
9,2017-07-17 10:46:13,18.901,38578,,,,,
10,2017-07-17 11:01:13,23.1,19977.9,,,,,
11,2017-07-17 11:16:13,26.488,44089.2,,,,,
12,2017-07-17 11:31:13,25.222,1636.1,,,,,
13,2017-07-17 11:46:13,20.901,1894.5,,,,,
14,2017-07-17 12:01:13,17.95,2066.7,,,,,
15,2017-07-17 12:16:13,16.427,11711.2,,,,,
16,2017-07-17 12:31:13,16.808,2583.4,,,,,
17,2017-07-17 12:46:13,15.473,1808.3,,,,,
18,2017-07-17 13:01:13,17.094,15155.7,,,,,
19,2017-07-17 13:16:13,22.142,35822.5,,,,,
20,2017-07-17 13:31:13,22.429,11022.3,,,,,
21,2017-07-17 13:46:13,21.664,49600.3,,,,,
22,2017-07-17 14:01:13,24.641,27555.7,,,,,
23,2017-07-17 14:16:13,29.853,44089.2,,,,,
24,2017-07-17 14:31:13,22.046,49600.3,,,,,
25,2017-07-17 14:46:13,24.641,137778.7,,,,,
26,2017-07-17 15:01:13,32.6,143289.8,,,,,
27,2017-07-17 15:16:13,24.835,132267.5,,,,,
28,2017-07-17 15:31:13,29.752,170845.6,,,,,
29,2017-07-17 15:46:13,27.468,121245.2,,,,,
30,2017-07-17 16:01:13,24.448,99200.7,,,,,
31,2017-07-17 16:16:13,22.621,77156.1,,,,,
32,2017-07-17 16:31:13,21.855,77156.1,,,,,
33,2017-07-17 16:46:13,20.519,71644.9,,,,,
34,2017-07-17 17:01:13,20.424,88178.4,,,,,
35,2017-07-17 17:16:13,19.472,57867,,,,,
36,2017-07-17 17:31:13,18.045,35822.5,,,,,
37,2017-07-17 17:46:13,18.996,35822.5,,,,,
38,2017-07-17 18:01:13,19.567,38578,,,,,
39,2017-07-17 18:16:13,18.426,26178,,,,,
40,2017-07-17 18:31:13,17.855,30311.3,,,,,
41,2017-07-17 18:46:13,16.713,26178,,,,,
42,2017-07-17 19:01:13,15.855,22044.6,,,,,
43,2017-07-17 19:16:13,15.378,17911.2,,,,,
44,2017-07-17 19:31:13,15.569,26178,,,,,
45,2017-07-17 19:46:13,15.187,13089,,,,,
46,2017-07-17 20:01:13,14.996,11711.2,,,,,
47,2017-07-17 20:16:13,14.9,9300.1,,,,,
48,2017-07-17 20:31:13,13.558,9300.1,,,,,
49,2017-07-17 20:46:13,13.269,11022.3,,,,,
50,2017-07-17 21:01:13,13.269,10333.4,,,,,
51,2017-07-17 21:16:13,12.497,5511.1,,,,,
52,2017-07-17 21:31:13,12.207,3616.7,,,,,
53,2017-07-17 21:46:13,12.013,4994.5,,,,,
54,2017-07-17 22:01:13,11.916,3100,,,,,
55,2017-07-17 22:16:13,11.334,2066.7,,,,,
56,2017-07-17 22:31:13,10.651,1227.1,,,,,
57,2017-07-17 22:46:13,10.651,785.8,,,,,
58,2017-07-17 23:01:13,10.748,355.2,,,,,
59,2017-07-17 23:16:13,10.651,107.6,,,,,
60,2017-07-17 23:31:13,10.455,64.6,,,,,
61,2017-07-17 23:46:13,10.455,53.8,,,,,
62,2017-07-18 00:01:13,11.528,43.1,,,,,
63,2017-07-18 00:16:13,12.594,32.3,,,,,
64,2017-07-18 00:31:13,12.11,10.8,,,,,
65,2017-07-18 00:46:13,12.013,10.8,,,,,
66,2017-07-18 01:01:13,11.528,0,,,,,
67,2017-07-18 01:16:13,11.041,0,,,,,
68,2017-07-18 01:31:13,11.236,0,,,,,
69,2017-07-18 01:46:13,11.334,10.8,,,,,
70,2017-07-18 02:01:13,11.139,43.1,,,,,
71,2017-07-18 02:16:13,11.041,53.8,,,,,
72,2017-07-18 02:31:13,10.651,96.9,,,,,
73,2017-07-18 02:46:13,10.748,150.7,,,,,
74,2017-07-18 03:01:13,10.259,290.6,,,,,
75,2017-07-18 03:16:13,10.455,516.7,,,,,
76,2017-07-18 03:31:13,10.651,462.9,,,,,
77,2017-07-18 03:46:13,10.357,613.5,,,,,
78,2017-07-18 04:01:13,10.553,1356.3,,,,,
79,2017-07-18 04:16:13,10.944,3272.2,,,,,
80,2017-07-18 04:31:13,11.528,3272.2,,,,,
81,2017-07-18 04:46:13,12.594,4822.3,,,,,
82,2017-07-18 05:01:13,13.076,5166.7,,,,,
83,2017-07-18 05:16:13,13.269,4477.8,,,,,
84,2017-07-18 05:31:13,12.497,6544.5,,,,,
85,2017-07-18 05:46:13,13.269,5166.7,,,,,
86,2017-07-18 06:01:13,13.461,3961.1,,,,,
87,2017-07-18 06:16:13,13.558,4650,,,,,
88,2017-07-18 06:31:13,14.517,6200,,,,,
89,2017-07-18 06:46:13,15.187,9644.5,,,,,
90,2017-07-18 07:01:13,15.473,8266.7,,,,,
91,2017-07-18 07:16:13,16.808,9644.5,,,,,
92,2017-07-18 07:31:13,15.76,8266.7,,,,,
93,2017-07-18 07:46:13,16.618,6544.5,,,,,
94,2017-07-18 08:01:13,18.236,8266.7,,,,,
95,2017-07-18 08:16:13,17.76,8266.7,,,,,
96,2017-07-18 08:31:13,18.616,11711.2,,,,,
97,2017-07-18 08:46:13,17.665,15155.7,,,,,
98,2017-07-18 09:01:13,20.138,24800.2,,,,,
99,2017-07-18 09:16:13,17.189,21355.7,,,,,
100,2017-07-18 09:31:13,16.141,26178,,,,,
101,2017-07-18 09:46:13,16.046,19289,,,,,
102,2017-07-18 10:01:13,15.664,18600.1,,,,,
103,2017-07-18 10:16:13,15.664,22044.6,,,,,
104,2017-07-18 10:31:13,15.473,17222.3,,,,,
105,2017-07-18 10:46:13,15.187,22044.6,,,,,
106,2017-07-18 11:01:13,15.187,16533.4,,,,,
107,2017-07-18 11:16:13,15.378,16533.4,,,,,
108,2017-07-18 11:31:13,15.951,19977.9,,,,,
109,2017-07-18 11:46:13,16.618,24800.2,,,,,
110,2017-07-18 12:01:13,18.426,34444.7,,,,,
111,2017-07-18 12:16:13,16.999,55111.5,,,,,
112,2017-07-18 12:31:13,17.475,71644.9,,,,,
113,2017-07-18 12:46:13,16.713,60622.6,,,,,
114,2017-07-18 13:01:13,14.038,37200.2,,,,,
115,2017-07-18 13:16:13,13.75,30311.3,,,,,
116,2017-07-18 13:31:13,12.594,20666.8,,,,,
117,2017-07-18 13:46:13,12.401,21355.7,,,,,
118,2017-07-18 14:01:13,12.401,23422.4,,,,,
119,2017-07-18 14:16:13,12.401,26178,,,,,
120,2017-07-18 14:31:13,12.11,20666.8,,,,,
121,2017-07-18 14:46:13,12.11,14466.8,,,,,
122,2017-07-18 15:01:13,12.304,21355.7,,,,,
123,2017-07-18 15:16:13,12.207,20666.8,,,,,
124,2017-07-18 15:31:13,12.207,23422.4,,,,,
125,2017-07-18 15:46:13,12.304,22044.6,,,,,
126,2017-07-18 16:01:13,12.304,18600.1,,,,,
127,2017-07-18 16:16:13,12.11,17911.2,,,,,
128,2017-07-18 16:31:13,11.916,16533.4,,,,,
129,2017-07-18 16:46:13,11.722,14466.8,,,,,
130,2017-07-18 17:01:13,12.11,12400.1,,,,,
131,2017-07-18 17:16:13,12.11,11022.3,,,,,
132,2017-07-18 17:31:13,11.916,7577.8,,,,,
133,2017-07-18 17:46:13,11.819,8266.7,,,,,
134,2017-07-18 18:01:13,12.69,6544.5,,,,,
135,2017-07-18 18:16:13,12.69,4650,,,,,
136,2017-07-18 18:31:13,12.594,3788.9,,,,,
137,2017-07-18 18:46:13,12.69,4994.5,,,,,
138,2017-07-18 19:01:13,12.013,5511.1,,,,,
139,2017-07-18 19:16:13,11.236,4822.3,,,,,
140,2017-07-18 19:31:13,11.431,3272.2,,,,,
141,2017-07-18 19:46:13,11.334,3616.7,,,,,
142,2017-07-18 20:01:13,11.334,3100,,,,,
143,2017-07-18 20:16:13,11.236,3444.5,,,,,
144,2017-07-18 20:31:13,11.334,3961.1,,,,,
145,2017-07-18 20:46:13,11.334,3961.1,,,,,
146,2017-07-18 21:01:13,11.528,3272.2,,,,,
147,2017-07-18 21:16:13,11.819,3100,,,,,
148,2017-07-18 21:31:13,11.528,2066.7,,,,,
149,2017-07-18 21:46:13,11.334,2066.7,,,,,
150,2017-07-18 22:01:13,11.722,1550,,,,,
151,2017-07-18 22:16:13,12.11,850.4,,,,,
152,2017-07-18 22:31:13,12.207,882.6,,,,,
153,2017-07-18 22:46:13,11.916,484.4,,,,,
154,2017-07-18 23:01:13,11.625,150.7,,,,,
155,2017-07-18 23:16:13,12.207,53.8,,,,,
156,2017-07-18 23:31:13,12.497,21.5,,,,,
157,2017-07-18 23:46:13,12.401,0,,,,,
158,2017-07-19 00:01:13,12.69,0,,,,,
159,2017-07-19 00:16:13,12.594,0,,,,,
160,2017-07-19 00:31:13,12.594,0,,,,,
161,2017-07-19 00:46:13,12.11,0,,,,,
162,2017-07-19 01:01:13,12.11,0,,,,,
163,2017-07-19 01:16:13,12.207,0,,,,,
164,2017-07-19 01:31:13,12.304,0,,,,,
165,2017-07-19 01:46:13,12.013,0,,,,,
166,2017-07-19 02:01:13,12.11,10.8,,,,,
167,2017-07-19 02:16:13,12.304,10.8,,,,,
168,2017-07-19 02:31:13,12.401,21.5,,,,,
169,2017-07-19 02:46:13,12.594,53.8,,,,,
170,2017-07-19 03:01:13,12.401,64.6,,,,,
171,2017-07-19 03:16:13,12.304,64.6,,,,,
172,2017-07-19 03:31:13,12.69,193.8,,,,,
173,2017-07-19 03:46:13,12.883,376.7,,,,,
174,2017-07-19 04:01:13,12.883,656.6,,,,,
175,2017-07-19 04:16:13,13.269,861.1,,,,,
176,2017-07-19 04:31:13,13.558,1377.8,,,,,
177,2017-07-19 04:46:13,13.365,1636.1,,,,,
178,2017-07-19 05:01:13,13.558,1550,,,,,
179,2017-07-19 05:16:13,13.654,3272.2,,,,,
180,2017-07-19 05:31:13,13.654,4133.4,,,,,
181,2017-07-19 05:46:13,13.75,3616.7,,,,,
182,2017-07-19 06:01:13,13.461,5166.7,,,,,
183,2017-07-19 06:16:13,13.846,6200,,,,,
184,2017-07-19 06:31:13,13.558,5338.9,,,,,
185,2017-07-19 06:46:13,13.076,6200,,,,,
186,2017-07-19 07:01:13,13.269,5511.1,,,,,
187,2017-07-19 07:16:13,13.076,8266.7,,,,,
188,2017-07-19 07:31:13,13.076,11711.2,,,,,
189,2017-07-19 07:46:13,13.654,13089,,,,,
