Plot Title: St33_Sonde_20Aug2017,,,,,,,,
#,"Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517216, SEN S/N: 10517216, LBL: Temp)","Intensity, Lux (LGR S/N: 10517216, SEN S/N: 10517216, LBL: Light)",Coupler Detached (LGR S/N: 10517216),Coupler Attached (LGR S/N: 10517216),Host Connected (LGR S/N: 10517216),Stopped (LGR S/N: 10517216),End Of File (LGR S/N: 10517216)
1,2017-08-20 09:24:34,19.092,0,,,,,
2,2017-08-20 09:24:38,,,Logged,,,,
3,2017-08-20 09:54:34,18.045,0,,,,,
4,2017-08-20 10:24:34,14.996,355.2,,,,,
5,2017-08-20 10:54:34,12.11,1636.1,,,,,
6,2017-08-20 11:24:34,12.013,473.6,,,,,
7,2017-08-20 11:54:34,10.455,30311.3,,,,,
8,2017-08-20 12:24:34,12.11,46844.8,,,,,
9,2017-08-20 12:54:34,13.654,49600.3,,,,,
10,2017-08-20 13:24:34,12.98,38578,,,,,
11,2017-08-20 13:54:34,12.013,31689.1,,,,,
12,2017-08-20 14:24:34,14.134,55111.5,,,,,
13,2017-08-20 14:54:34,13.173,41333.6,,,,,
14,2017-08-20 15:24:34,12.98,41333.6,,,,,
15,2017-08-20 15:54:34,13.461,41333.6,,,,,
16,2017-08-20 16:24:34,14.804,46844.8,,,,,
17,2017-08-20 16:54:34,14.517,38578,,,,,
18,2017-08-20 17:24:34,17.094,44089.2,,,,,
19,2017-08-20 17:54:34,21.378,24800.2,,,,,
20,2017-08-20 18:24:34,21.855,11711.2,,,,,
21,2017-08-20 18:54:34,25.125,15844.5,,,,,
22,2017-08-20 19:24:34,13.654,5166.7,,,,,
23,2017-08-20 19:54:34,10.944,5166.7,,,,,
24,2017-08-20 20:24:34,8.581,2325,,,,,
25,2017-08-20 20:54:34,6.978,828.8,,,,,
26,2017-08-20 21:24:34,6.064,183,,,,,
27,2017-08-20 21:54:34,5.655,10.8,,,,,
28,2017-08-20 22:24:34,5.757,0,,,,,
29,2017-08-20 22:54:34,4.727,0,,,,,
30,2017-08-20 23:24:34,4.102,0,,,,,
31,2017-08-20 23:54:34,4.519,0,,,,,
32,2017-08-21 00:24:34,3.472,0,,,,,
33,2017-08-21 00:54:34,4.207,0,,,,,
34,2017-08-21 01:24:34,3.998,0,,,,,
35,2017-08-21 01:54:34,3.683,0,,,,,
36,2017-08-21 02:24:34,3.893,0,,,,,
37,2017-08-21 02:54:34,4.102,0,,,,,
38,2017-08-21 03:24:34,4.311,0,,,,,
39,2017-08-21 03:54:34,4.519,0,,,,,
40,2017-08-21 04:24:34,3.683,10.8,,,,,
41,2017-08-21 04:54:34,3.367,398.3,,,,,
42,2017-08-21 05:24:34,5.347,968.8,,,,,
43,2017-08-21 05:54:34,5.141,2927.8,,,,,
44,2017-08-21 06:24:34,5.552,6200,,,,,
45,2017-08-21 06:54:34,6.37,8611.2,,,,,
46,2017-08-21 07:24:34,7.381,17222.3,,,,,
47,2017-08-21 07:54:34,8.182,19289,,,,,
48,2017-08-21 08:24:34,10.063,31689.1,,,,,
49,2017-08-21 08:54:34,11.236,30311.3,,,,,
50,2017-08-21 09:24:34,11.819,33066.9,,,,,
51,2017-08-21 09:54:34,14.804,44089.2,,,,,
52,2017-08-21 10:24:34,17.094,93689.5,,,,,
53,2017-08-21 10:54:34,19.948,121245.2,,,,,
54,2017-08-21 11:24:34,20.71,115734.1,,,,,
55,2017-08-21 11:54:34,21.282,93689.5,,,,,
56,2017-08-21 12:24:34,22.908,74400.5,,,,,
57,2017-08-21 12:54:34,25.416,93689.5,,,,,
58,2017-08-21 13:24:34,30.457,93689.5,,,,,
59,2017-08-21 13:54:34,36.295,99200.7,,,,,
60,2017-08-21 14:24:34,27.862,30311.3,,,,,
61,2017-08-21 14:54:34,33.639,104711.8,,,,,
62,2017-08-21 15:24:34,27.272,85422.8,,,,,
63,2017-08-21 15:54:34,28.06,55111.5,,,,,
64,2017-08-21 16:24:34,25.902,49600.3,,,,,
65,2017-08-21 16:54:34,21.951,33066.9,,,,,
66,2017-08-21 17:24:34,20.615,27555.7,,,,,
67,2017-08-21 17:54:34,18.806,16533.4,,,,,
68,2017-08-21 18:24:34,14.23,21355.7,,,,,
69,2017-08-21 18:54:34,12.98,14466.8,,,,,
70,2017-08-21 19:24:34,13.461,16533.4,,,,,
71,2017-08-21 19:54:34,11.236,5511.1,,,,,
72,2017-08-21 20:24:34,10.063,3272.2,,,,,
73,2017-08-21 20:54:34,9.077,731.9,,,,,
74,2017-08-21 21:24:34,8.68,139.9,,,,,
75,2017-08-21 21:54:34,8.382,0,,,,,
76,2017-08-21 22:24:34,7.381,0,,,,,
77,2017-08-21 22:54:34,7.28,0,,,,,
78,2017-08-21 23:24:34,7.28,0,,,,,
79,2017-08-21 23:54:34,6.573,0,,,,,
80,2017-08-22 00:24:34,6.166,0,,,,,
81,2017-08-22 00:54:34,6.573,0,,,,,
82,2017-08-22 01:24:34,6.064,0,,,,,
83,2017-08-22 01:54:34,5.552,0,,,,,
84,2017-08-22 02:24:34,6.268,0,,,,,
85,2017-08-22 02:54:34,6.877,0,,,,,
86,2017-08-22 03:24:34,7.079,0,,,,,
87,2017-08-22 03:54:34,7.983,0,,,,,
88,2017-08-22 04:24:34,7.782,0,,,,,
89,2017-08-22 04:54:34,7.682,107.6,,,,,
90,2017-08-22 05:24:34,7.28,807.3,,,,,
91,2017-08-22 05:54:34,7.481,2583.4,,,,,
92,2017-08-22 06:24:34,7.882,6200,,,,,
93,2017-08-22 06:54:34,10.455,9300.1,,,,,
94,2017-08-22 07:24:34,14.804,10677.8,,,,,
95,2017-08-22 07:54:34,14.325,10677.8,,,,,
96,2017-08-22 08:24:34,14.421,30311.3,,,,,
97,2017-08-22 08:54:34,16.141,57867,,,,,
98,2017-08-22 09:24:34,17.665,79911.6,,,,,
99,2017-08-22 09:54:34,19.758,77156.1,,,,,
100,2017-08-22 10:24:34,26.977,82667.2,,,,,
101,2017-08-22 10:54:34,34.058,99200.7,,,,,
102,2017-08-22 11:24:34,30.054,66133.8,,,,,
103,2017-08-22 11:54:34,23.966,82667.2,,,,,
104,2017-08-22 12:24:34,28.953,132267.5,,,,,
105,2017-08-22 12:54:34,26.39,79911.6,,,,,
106,2017-08-22 13:24:34,24.931,93689.5,,,,,
107,2017-08-22 13:54:34,28.853,115734.1,,,,,
108,2017-08-22 14:24:34,24.448,143289.8,,,,,
109,2017-08-22 14:54:34,19.853,88178.4,,,,,
110,2017-08-22 15:24:34,16.523,55111.5,,,,,
111,2017-08-22 15:54:34,14.804,39955.8,,,,,
112,2017-08-22 16:24:34,17.094,44089.2,,,,,
113,2017-08-22 16:54:34,20.043,41333.6,,,,,
114,2017-08-22 17:24:34,22.908,68889.3,,,,,
115,2017-08-22 17:54:34,17.284,38578,,,,,
116,2017-08-22 18:24:34,17.95,30311.3,,,,,
117,2017-08-22 18:54:34,14.23,18600.1,,,,,
118,2017-08-22 19:24:34,13.654,11711.2,,,,,
119,2017-08-22 19:54:34,12.11,5511.1,,,,,
120,2017-08-22 20:24:34,10.259,2927.8,,,,,
121,2017-08-22 20:54:34,8.779,807.3,,,,,
122,2017-08-22 21:24:34,8.182,118.4,,,,,
123,2017-08-22 21:54:34,7.983,0,,,,,
124,2017-08-22 22:24:34,7.381,0,,,,,
125,2017-08-22 22:54:34,7.381,0,,,,,
126,2017-08-22 23:24:34,7.28,0,,,,,
127,2017-08-22 23:54:34,7.079,0,,,,,
128,2017-08-23 00:24:34,7.079,0,,,,,
129,2017-08-23 00:54:34,7.179,0,,,,,
130,2017-08-23 01:24:34,6.775,0,,,,,
131,2017-08-23 01:54:34,6.573,0,,,,,
132,2017-08-23 02:24:34,6.674,0,,,,,
133,2017-08-23 02:54:34,6.978,0,,,,,
134,2017-08-23 03:24:34,6.775,0,,,,,
