Plot Title: Myvatn_sonde_24May17,,,,,,,,
#,"Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517217, SEN S/N: 10517217, LBL: Temp)","Intensity, Lux (LGR S/N: 10517217, SEN S/N: 10517217, LBL: Light Intensity)",Coupler Attached (LGR S/N: 10517217),Coupler Detached (LGR S/N: 10517217),Host Connected (LGR S/N: 10517217),Stopped (LGR S/N: 10517217),End Of File (LGR S/N: 10517217)
1,2017-05-24 09:00:00,25.513,53.8,,,,,
2,2017-05-24 09:30:00,27.075,581.3,,,,,
3,2017-05-24 10:00:00,13.942,258.3,,,,,
4,2017-05-24 10:30:00,16.332,936.5,,,,,
5,2017-05-24 11:00:00,12.69,17222.3,,,,,
6,2017-05-24 11:30:00,11.528,14466.8,,,,,
7,2017-05-24 12:00:00,12.207,24800.2,,,,,
8,2017-05-24 12:30:00,10.063,10677.8,,,,,
9,2017-05-24 13:00:00,10.553,17911.2,,,,,
10,2017-05-24 13:30:00,12.013,30311.3,,,,,
11,2017-05-24 14:00:00,11.916,34444.7,,,,,
12,2017-05-24 14:30:00,12.594,37200.2,,,,,
13,2017-05-24 15:00:00,13.942,52355.9,,,,,
14,2017-05-24 15:30:00,13.942,39955.8,,,,,
15,2017-05-24 16:00:00,12.304,19289,,,,,
16,2017-05-24 16:30:00,11.722,14466.8,,,,,
17,2017-05-24 17:00:00,11.041,13089,,,,,
18,2017-05-24 17:30:00,10.651,12400.1,,,,,
19,2017-05-24 18:00:00,10.944,20666.8,,,,,
20,2017-05-24 18:30:00,10.748,11022.3,,,,,
21,2017-05-24 19:00:00,10.161,15155.7,,,,,
22,2017-05-24 19:30:00,9.472,5511.1,,,,,
23,2017-05-24 20:00:00,9.077,4133.4,,,,,
24,2017-05-24 20:30:00,8.978,2927.8,,,,,
25,2017-05-24 21:00:00,8.481,1463.9,,,,,
26,2017-05-24 21:30:00,8.481,1291.7,,,,,
27,2017-05-24 22:00:00,8.282,893.4,,,,,
28,2017-05-24 22:30:00,7.983,764.2,,,,,
29,2017-05-24 23:00:00,7.882,979.5,,,,,
30,2017-05-24 23:30:00,7.582,183,,,,,
31,2017-05-25 00:00:00,7.28,10.8,,,,,
32,2017-05-25 00:30:00,6.978,0,,,,,
