Plot Title: Sonde_21Jul18,,,,,,,
#,"Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517223, SEN S/N: 10517223, LBL: Temp)","Intensity, Lux (LGR S/N: 10517223, SEN S/N: 10517223, LBL: Light)",Coupler Attached (LGR S/N: 10517223),Host Connected (LGR S/N: 10517223),Stopped (LGR S/N: 10517223),End Of File (LGR S/N: 10517223)
1,2018-07-21 09:45:00,23.004,398.3,,,,
2,2018-07-21 10:00:00,22.621,279.9,,,,
3,2018-07-21 10:15:00,22.142,10.8,,,,
4,2018-07-21 10:30:00,21.664,118.4,,,,
5,2018-07-21 10:45:00,21.569,64.6,,,,
6,2018-07-21 11:00:00,21.282,2325,,,,
7,2018-07-21 11:15:00,23.1,57867,,,,
8,2018-07-21 11:30:00,20.805,57867,,,,
9,2018-07-21 11:45:00,18.426,34444.7,,,,
10,2018-07-21 12:00:00,18.045,44089.2,,,,
11,2018-07-21 12:15:00,18.14,38578,,,,
12,2018-07-21 12:30:00,18.521,66133.8,,,,
13,2018-07-21 12:45:00,18.426,42711.4,,,,
14,2018-07-21 13:00:00,17.665,46844.8,,,,
15,2018-07-21 13:15:00,16.808,30311.3,,,,
16,2018-07-21 13:30:00,16.427,30311.3,,,,
17,2018-07-21 13:45:00,17.379,44089.2,,,,
18,2018-07-21 14:00:00,18.616,46844.8,,,,
19,2018-07-21 14:15:00,18.711,52355.9,,,,
20,2018-07-21 14:30:00,19.282,52355.9,,,,
21,2018-07-21 14:45:00,20.234,68889.3,,,,
22,2018-07-21 15:00:00,19.948,55111.5,,,,
23,2018-07-21 15:15:00,18.901,34444.7,,,,
24,2018-07-21 15:30:00,18.806,52355.9,,,,
25,2018-07-21 15:45:00,17.665,49600.3,,,,
26,2018-07-21 16:00:00,17.094,37200.2,,,,
27,2018-07-21 16:15:00,17.76,68889.3,,,,
28,2018-07-21 16:30:00,17.95,57867,,,,
29,2018-07-21 16:45:00,16.618,33066.9,,,,
30,2018-07-21 17:00:00,16.046,33066.9,,,,
31,2018-07-21 17:15:00,14.9,17911.2,,,,
32,2018-07-21 17:30:00,15.091,20666.8,,,,
33,2018-07-21 17:45:00,14.421,12400.1,,,,
34,2018-07-21 18:00:00,13.846,12400.1,,,,
35,2018-07-21 18:15:00,13.75,9300.1,,,,
36,2018-07-21 18:30:00,13.461,8266.7,,,,
37,2018-07-21 18:45:00,13.654,16533.4,,,,
38,2018-07-21 19:00:00,13.558,10333.4,,,,
39,2018-07-21 19:15:00,13.558,9300.1,,,,
40,2018-07-21 19:30:00,13.846,18600.1,,,,
41,2018-07-21 19:45:00,13.461,10333.4,,,,
42,2018-07-21 20:00:00,13.365,10677.8,,,,
43,2018-07-21 20:15:00,12.883,9644.5,,,,
44,2018-07-21 20:30:00,12.497,7233.4,,,,
45,2018-07-21 20:45:00,12.497,5511.1,,,,
46,2018-07-21 21:00:00,12.013,2755.6,,,,
47,2018-07-21 21:15:00,11.528,1550,,,,
48,2018-07-21 21:30:00,11.431,1636.1,,,,
49,2018-07-21 21:45:00,11.236,2583.4,,,,
50,2018-07-21 22:00:00,10.944,1894.5,,,,
51,2018-07-21 22:15:00,10.944,1377.8,,,,
52,2018-07-21 22:30:00,10.846,656.6,,,,
53,2018-07-21 22:45:00,10.846,376.7,,,,
54,2018-07-21 23:00:00,10.651,236.8,,,,
55,2018-07-21 23:15:00,10.553,172.2,,,,
56,2018-07-21 23:30:00,10.553,96.9,,,,
57,2018-07-21 23:45:00,10.553,43.1,,,,
58,2018-07-22 00:00:00,10.553,43.1,,,,
59,2018-07-22 00:15:00,10.455,21.5,,,,
60,2018-07-22 00:30:00,10.455,10.8,,,,
61,2018-07-22 00:45:00,10.455,0,,,,
62,2018-07-22 01:00:00,10.259,0,,,,
63,2018-07-22 01:15:00,10.161,0,,,,
64,2018-07-22 01:30:00,10.161,0,,,,
65,2018-07-22 01:45:00,10.161,10.8,,,,
66,2018-07-22 02:00:00,10.161,10.8,,,,
67,2018-07-22 02:15:00,10.161,10.8,,,,
68,2018-07-22 02:30:00,10.161,21.5,,,,
69,2018-07-22 02:45:00,10.161,64.6,,,,
70,2018-07-22 03:00:00,9.965,96.9,,,,
71,2018-07-22 03:15:00,9.965,150.7,,,,
72,2018-07-22 03:30:00,9.866,290.6,,,,
73,2018-07-22 03:45:00,9.669,226,,,,
74,2018-07-22 04:00:00,9.571,387.5,,,,
75,2018-07-22 04:15:00,9.571,753.5,,,,
76,2018-07-22 04:30:00,9.571,1808.3,,,,
77,2018-07-22 04:45:00,9.472,2669.5,,,,
78,2018-07-22 05:00:00,9.373,2669.5,,,,
79,2018-07-22 05:15:00,9.472,3616.7,,,,
80,2018-07-22 05:30:00,9.669,5166.7,,,,
81,2018-07-22 05:45:00,9.669,5166.7,,,,
82,2018-07-22 06:00:00,9.768,5511.1,,,,
83,2018-07-22 06:15:00,9.768,7577.8,,,,
84,2018-07-22 06:30:00,9.768,8266.7,,,,
85,2018-07-22 06:45:00,10.063,12400.1,,,,
86,2018-07-22 07:00:00,10.161,10333.4,,,,
87,2018-07-22 07:15:00,9.768,7233.4,,,,
88,2018-07-22 07:30:00,9.866,7233.4,,,,
89,2018-07-22 07:45:00,9.965,9300.1,,,,
90,2018-07-22 08:00:00,10.161,11711.2,,,,
91,2018-07-22 08:15:00,10.063,10677.8,,,,
92,2018-07-22 08:30:00,9.965,11711.2,,,,
93,2018-07-22 08:45:00,10.161,13089,,,,
94,2018-07-22 09:00:00,10.357,15155.7,,,,
95,2018-07-22 09:15:00,10.357,16533.4,,,,
96,2018-07-22 09:30:00,10.651,24800.2,,,,
97,2018-07-22 09:45:00,10.846,26178,,,,
98,2018-07-22 10:00:00,11.041,30311.3,,,,
99,2018-07-22 10:15:00,11.916,38578,,,,
100,2018-07-22 10:30:00,12.304,38578,,,,
101,2018-07-22 10:45:00,11.528,38578,,,,
102,2018-07-22 11:00:00,11.625,26178,,,,
103,2018-07-22 11:15:00,11.528,33066.9,,,,
104,2018-07-22 11:30:00,11.916,35822.5,,,,
105,2018-07-22 11:45:00,11.819,37200.2,,,,
106,2018-07-22 12:00:00,12.207,35822.5,,,,
107,2018-07-22 12:15:00,12.497,46844.8,,,,
108,2018-07-22 12:30:00,12.69,52355.9,,,,
109,2018-07-22 12:45:00,13.269,49600.3,,,,
110,2018-07-22 13:00:00,13.269,44089.2,,,,
111,2018-07-22 13:15:00,14.038,60622.6,,,,
112,2018-07-22 13:30:00,14.421,55111.5,,,,
113,2018-07-22 13:45:00,13.076,34444.7,,,,
114,2018-07-22 14:00:00,12.497,30311.3,,,,
115,2018-07-22 14:15:00,11.431,16533.4,,,,
116,2018-07-22 14:30:00,10.748,13777.9,,,,
117,2018-07-22 14:45:00,10.748,14466.8,,,,
118,2018-07-22 15:00:00,11.236,28933.5,,,,
119,2018-07-22 15:15:00,11.334,28933.5,,,,
120,2018-07-22 15:30:00,11.722,38578,,,,
121,2018-07-22 15:45:00,12.013,39955.8,,,,
122,2018-07-22 16:00:00,12.401,44089.2,,,,
123,2018-07-22 16:15:00,12.497,42711.4,,,,
124,2018-07-22 16:30:00,12.69,38578,,,,
125,2018-07-22 16:45:00,13.173,55111.5,,,,
126,2018-07-22 17:00:00,14.23,60622.6,,,,
127,2018-07-22 17:15:00,14.038,46844.8,,,,
128,2018-07-22 17:30:00,13.846,44089.2,,,,
129,2018-07-22 17:45:00,11.819,12400.1,,,,
130,2018-07-22 18:00:00,11.334,12400.1,,,,
131,2018-07-22 18:15:00,11.334,13777.9,,,,
132,2018-07-22 18:30:00,11.041,9300.1,,,,
133,2018-07-22 18:45:00,10.748,6544.5,,,,
134,2018-07-22 19:00:00,10.553,6544.5,,,,
135,2018-07-22 19:15:00,10.455,6544.5,,,,
136,2018-07-22 19:30:00,10.651,10333.4,,,,
137,2018-07-22 19:45:00,10.553,9300.1,,,,
138,2018-07-22 20:00:00,10.161,5511.1,,,,
139,2018-07-22 20:15:00,10.161,5166.7,,,,
140,2018-07-22 20:30:00,9.866,3961.1,,,,
141,2018-07-22 20:45:00,9.768,5166.7,,,,
142,2018-07-22 21:00:00,9.669,3616.7,,,,
143,2018-07-22 21:15:00,9.373,1377.8,,,,
144,2018-07-22 21:30:00,9.373,613.5,,,,
145,2018-07-22 21:45:00,9.176,581.3,,,,
146,2018-07-22 22:00:00,9.176,1216.3,,,,
147,2018-07-22 22:15:00,9.275,882.6,,,,
148,2018-07-22 22:30:00,9.176,387.5,,,,
149,2018-07-22 22:45:00,8.879,161.5,,,,
150,2018-07-22 23:00:00,8.779,107.6,,,,
151,2018-07-22 23:15:00,8.779,43.1,,,,
152,2018-07-22 23:30:00,8.481,32.3,,,,
153,2018-07-22 23:45:00,8.481,10.8,,,,
154,2018-07-23 00:00:00,8.282,10.8,,,,
155,2018-07-23 00:15:00,8.481,0,,,,
156,2018-07-23 00:30:00,8.382,0,,,,
157,2018-07-23 00:45:00,8.282,0,,,,
158,2018-07-23 01:00:00,8.282,0,,,,
159,2018-07-23 01:15:00,8.182,0,,,,
160,2018-07-23 01:30:00,7.983,0,,,,
161,2018-07-23 01:45:00,8.182,0,,,,
162,2018-07-23 02:00:00,8.182,0,,,,
163,2018-07-23 02:15:00,8.282,0,,,,
164,2018-07-23 02:30:00,8.182,10.8,,,,
165,2018-07-23 02:45:00,8.182,21.5,,,,
166,2018-07-23 03:00:00,7.983,43.1,,,,
167,2018-07-23 03:15:00,7.983,64.6,,,,
168,2018-07-23 03:30:00,7.782,193.8,,,,
169,2018-07-23 03:45:00,8.082,258.3,,,,
170,2018-07-23 04:00:00,7.882,409,,,,
171,2018-07-23 04:15:00,7.983,699.7,,,,
