Plot Title: Sonde_MAY_2018,,,,,,,
#,"Date Time, GMT+00:00","Temp, °C (LGR S/N: 10349961, SEN S/N: 10349961)","Intensity, Lux (LGR S/N: 10349961, SEN S/N: 10349961)",Host Connected (LGR S/N: 10349961),Coupler Attached (LGR S/N: 10349961),Stopped (LGR S/N: 10349961),End Of File (LGR S/N: 10349961)
1,2018-05-21 15:00:00,24.545,301.4,,,,
2,2018-05-21 15:30:00,22.812,21.5,,,,
3,2018-05-21 16:00:00,19.948,64.6,,,,
4,2018-05-21 16:30:00,19.472,32.3,,,,
5,2018-05-21 17:00:00,15.569,236.8,,,,
6,2018-05-21 17:30:00,7.983,18600.1,,,,
7,2018-05-21 18:00:00,7.079,3272.2,,,,
8,2018-05-21 18:30:00,4.727,1808.3,,,,
9,2018-05-21 19:00:00,5.347,6544.5,,,,
10,2018-05-21 19:30:00,7.682,925.7,,,,
11,2018-05-21 20:00:00,7.882,430.6,,,,
12,2018-05-21 20:30:00,7.983,710.4,,,,
13,2018-05-21 21:00:00,7.983,559.7,,,,
14,2018-05-21 21:30:00,6.978,247.6,,,,
15,2018-05-21 22:00:00,6.268,269.1,,,,
16,2018-05-21 22:30:00,6.775,215.3,,,,
17,2018-05-21 23:00:00,6.674,64.6,,,,
18,2018-05-21 23:30:00,5.86,32.3,,,,
19,2018-05-22 00:00:00,5.45,0,,,,
20,2018-05-22 00:30:00,5.141,0,,,,
21,2018-05-22 01:00:00,5.347,0,,,,
22,2018-05-22 01:30:00,5.347,0,,,,
23,2018-05-22 02:00:00,5.552,0,,,,
24,2018-05-22 02:30:00,5.45,10.8,,,,
25,2018-05-22 03:00:00,5.655,43.1,,,,
26,2018-05-22 03:30:00,5.655,32.3,,,,
27,2018-05-22 04:00:00,5.962,64.6,,,,
28,2018-05-22 04:30:00,6.37,172.2,,,,
29,2018-05-22 05:00:00,6.166,301.4,,,,
30,2018-05-22 05:30:00,6.877,376.7,,,,
31,2018-05-22 06:00:00,7.179,366,,,,
32,2018-05-22 06:30:00,7.28,624.3,,,,
33,2018-05-22 07:00:00,8.182,968.8,,,,
34,2018-05-22 07:30:00,9.275,516.7,,,,
35,2018-05-22 08:00:00,9.571,936.5,,,,
36,2018-05-22 08:30:00,10.161,1463.9,,,,
37,2018-05-22 09:00:00,10.455,1270.1,,,,
38,2018-05-22 09:30:00,10.944,1367,,,,
39,2018-05-22 10:00:00,11.625,1894.5,,,,
40,2018-05-22 10:30:00,12.11,2066.7,,,,
41,2018-05-22 11:00:00,13.076,2497.2,,,,
42,2018-05-22 11:30:00,13.365,2411.1,,,,
43,2018-05-22 12:00:00,13.558,1980.6,,,,
44,2018-05-22 12:30:00,13.461,2583.4,,,,
45,2018-05-22 13:00:00,12.787,2238.9,,,,
46,2018-05-22 13:30:00,11.819,1980.6,,,,
47,2018-05-22 14:00:00,11.528,1550,,,,
48,2018-05-22 14:30:00,11.139,1141,,,,
49,2018-05-22 15:00:00,10.748,979.5,,,,
50,2018-05-22 15:30:00,10.063,958,,,,
51,2018-05-22 16:00:00,10.259,1162.5,,,,
52,2018-05-22 16:30:00,10.748,1808.3,,,,
53,2018-05-22 17:00:00,10.846,1636.1,,,,
54,2018-05-22 17:30:00,10.651,2066.7,,,,
55,2018-05-22 18:00:00,11.041,1377.8,,,,
56,2018-05-22 18:30:00,10.748,1130.2,,,,
57,2018-05-22 19:00:00,10.651,1011.8,,,,
58,2018-05-22 19:30:00,11.722,2497.2,,,,
59,2018-05-22 20:00:00,11.722,1894.5,,,,
60,2018-05-22 20:30:00,10.651,645.8,,,,
61,2018-05-22 21:00:00,11.139,1097.9,,,,
62,2018-05-22 21:30:00,10.259,161.5,,,,
63,2018-05-22 22:00:00,10.161,75.3,,,,
64,2018-05-22 22:30:00,10.259,32.3,,,,
65,2018-05-22 23:00:00,10.357,10.8,,,,
66,2018-05-22 23:30:00,10.259,0,,,,
67,2018-05-23 00:00:00,10.553,0,,,,
68,2018-05-23 00:30:00,10.553,0,,,,
69,2018-05-23 01:00:00,10.553,0,,,,
70,2018-05-23 01:30:00,10.259,0,,,,
71,2018-05-23 02:00:00,9.965,0,,,,
72,2018-05-23 02:30:00,9.571,0,,,,
73,2018-05-23 03:00:00,8.779,10.8,,,,
74,2018-05-23 03:30:00,8.182,32.3,,,,
75,2018-05-23 04:00:00,7.682,64.6,,,,
76,2018-05-23 04:30:00,7.381,96.9,,,,
77,2018-05-23 05:00:00,7.381,129.2,,,,
78,2018-05-23 05:30:00,7.782,150.7,,,,
79,2018-05-23 06:00:00,7.983,172.2,,,,
80,2018-05-23 06:30:00,8.282,193.8,,,,
81,2018-05-23 07:00:00,8.779,204.5,,,,
82,2018-05-23 07:30:00,9.077,215.3,,,,
83,2018-05-23 08:00:00,8.978,236.8,,,,
84,2018-05-23 08:30:00,9.176,247.6,,,,
85,2018-05-23 09:00:00,9.373,279.9,,,,
86,2018-05-23 09:30:00,9.571,301.4,,,,
87,2018-05-23 10:00:00,9.866,333.7,,,,
88,2018-05-23 10:30:00,9.866,366,,,,
89,2018-05-23 11:00:00,9.866,419.8,,,,
90,2018-05-23 11:30:00,10.063,473.6,,,,
91,2018-05-23 12:00:00,10.455,538.2,,,,
92,2018-05-23 12:30:00,10.944,570.5,,,,
93,2018-05-23 13:00:00,11.139,742.7,,,,
94,2018-05-23 13:30:00,11.722,1334.7,,,,
95,2018-05-23 14:00:00,11.916,2583.4,,,,
96,2018-05-23 14:30:00,11.722,2497.2,,,,
97,2018-05-23 15:00:00,12.304,2669.5,,,,
98,2018-05-23 15:30:00,12.497,2669.5,,,,
99,2018-05-23 16:00:00,11.528,1141,,,,
100,2018-05-23 16:30:00,10.944,1377.8,,,,
101,2018-05-23 17:00:00,11.139,1334.7,,,,
102,2018-05-23 17:30:00,11.334,1248.6,,,,
103,2018-05-23 18:00:00,11.041,1367,,,,
104,2018-05-23 18:30:00,11.431,1377.8,,,,
105,2018-05-23 19:00:00,11.139,1216.3,,,,
106,2018-05-23 19:30:00,11.139,1087.2,,,,
107,2018-05-23 20:00:00,11.236,1119.5,,,,
108,2018-05-23 20:30:00,11.041,592,,,,
109,2018-05-23 21:00:00,10.748,366,,,,
110,2018-05-23 21:30:00,10.259,172.2,,,,
111,2018-05-23 22:00:00,10.161,204.5,,,,
112,2018-05-23 22:30:00,9.571,172.2,,,,
113,2018-05-23 23:00:00,9.472,43.1,,,,
114,2018-05-23 23:30:00,9.472,10.8,,,,
115,2018-05-24 00:00:00,8.68,0,,,,
116,2018-05-24 00:30:00,8.382,0,,,,
117,2018-05-24 01:00:00,7.782,0,,,,
118,2018-05-24 01:30:00,7.582,0,,,,
119,2018-05-24 02:00:00,5.962,0,,,,
120,2018-05-24 02:30:00,7.782,0,,,,
121,2018-05-24 03:00:00,7.882,0,,,,
122,2018-05-24 03:30:00,7.782,21.5,,,,
123,2018-05-24 04:00:00,7.782,10.8,,,,
124,2018-05-24 04:30:00,7.079,75.3,,,,
125,2018-05-24 05:00:00,7.481,172.2,,,,
126,2018-05-24 05:30:00,7.983,387.5,,,,
127,2018-05-24 06:00:00,7.481,269.1,,,,
128,2018-05-24 06:30:00,7.079,387.5,,,,
129,2018-05-24 07:00:00,7.28,559.7,,,,
130,2018-05-24 07:30:00,7.782,495.1,,,,
131,2018-05-24 08:00:00,8.082,656.6,,,,
132,2018-05-24 08:30:00,7.682,344.4,,,,
133,2018-05-24 09:00:00,7.381,441.3,,,,
134,2018-05-24 09:30:00,16.713,0,,,,
135,2018-05-24 10:00:00,26.879,0,,,,
136,2018-05-24 10:30:00,27.567,0,,,,
137,2018-05-24 11:00:00,22.238,0,,,,
138,2018-05-24 11:30:00,23.773,0,,,,
139,2018-05-24 12:00:00,21.282,0,,,,
140,2018-05-24 12:30:00,21.569,0,,,,
