"lakeid","sta","sampledate","andate","coreid","top_bottom","fract_count","tanyt","chiro","tanyp","ortho","pupae_tanyt","pupae_chiro","pupae_total"
"myv","33","2012-06-08","2012-06-09","1","0","1","0","0","1","0","NA","NA","0"
"myv","33","2012-06-08","2012-06-09","2","0","1","0","0","0","0","NA","NA","0"
"myv","33","2012-06-08","2012-06-09","3","0","1","0","0","0","0","NA","NA","0"
"myv","33","2012-06-08","2012-06-09","4","0","1","0","0","1","0","NA","NA","0"
"myv","33","2012-06-08","2012-06-09","5","0","1","0","0","1","0","NA","NA","0"
"myv","33","2012-06-08","2012-07-05","1","1","1","0","0","3","0","NA","NA","0"
"myv","33","2012-06-08","2012-07-05","2","1","1","0","1","1","0","NA","NA","0"
"myv","33","2012-06-08","2012-07-05","3","1","1","0","0","1","0","NA","NA","0"
"myv","33","2012-06-08","2012-07-05","4","1","1","0","1","1","0","NA","NA","0"
"myv","33","2012-06-08","2012-07-05","5","1","1","0","1","1","0","NA","NA","0"
"myv","33","2012-06-12","2012-07-07","1","1","1","1","0","0","0","NA","NA","1"
"myv","33","2012-06-12","2012-07-07","2","1","1","0","0","1","0","NA","NA","0"
"myv","33","2012-06-12","2012-07-07","3","1","1","0","0","1","0","NA","NA","0"
"myv","33","2012-06-12","2012-07-07","5","1","1","0","0","0","0","NA","NA","0"
"myv","33","2012-06-19","2012-06-20","1","0","1","0","0","0","0","NA","NA","0"
"myv","33","2012-06-19","2012-06-20","2","0","1","0","0","1","0","NA","NA","0"
"myv","33","2012-06-19","2012-06-20","3","0","1","0","0","1","0","NA","NA","0"
"myv","33","2012-06-19","2012-06-20","4","0","1","0","0","1","0","NA","NA","0"
"myv","33","2012-06-19","2012-06-20","5","0","1","0","0","0","0","NA","NA","0"
"myv","33","2012-06-19","2012-06-20","1","1","1","0","0","1","0","NA","NA","0"
"myv","33","2012-06-19","2012-06-20","2","1","1","0","1","2","0","NA","NA","0"
"myv","33","2012-06-19","2012-06-20","3","1","1","0","0","0","0","NA","NA","0"
"myv","33","2012-06-19","2012-06-20","4","1","1","0","0","1","0","NA","NA","0"
"myv","33","2012-06-19","2012-06-20","5","1","1","0","0","0","0","NA","NA","0"
"myv","33","2012-06-26","2012-06-27","1","0","1","0","0","3","0","NA","NA","0"
"myv","33","2012-06-26","2012-06-27","2","0","1","0","0","0","0","NA","NA","0"
"myv","33","2012-06-26","2012-06-27","3","0","1","0","0","0","0","NA","NA","0"
"myv","33","2012-06-26","2012-06-27","4","0","1","0","0","0","0","NA","NA","0"
"myv","33","2012-06-26","2012-06-27","5","0","1","0","0","1","0","NA","NA","0"
