lakeid,sta,sampledate,sampletime,sampledepth,light,wtemp,o2sat,do,ph,secchi_up,secchi_dn,barom_pres,comments,
myv,33,2013-06-08,14:15,0.00,480.0,14.9,116.90,11.86,9.28,1.70,1.75,735.40,,
myv,33,2013-06-08,14:15,0.50,350.0,14.7,117.00,11.88,9.29,1.70,1.75,735.40,,
myv,33,2013-06-08,14:15,1.00,245.0,14.5,117.40,11.94,9.29,1.70,1.75,735.40,,
myv,33,2013-06-08,14:15,1.50,200.0,14.2,119.70,12.31,9.32,1.70,1.75,735.40,,
myv,33,2013-06-08,14:15,2.00,152.0,14.1,119.70,12.32,9.37,1.70,1.75,735.40,,
myv,33,2013-06-08,14:15,2.50,121.0,14.1,119.80,12.31,9.36,1.70,1.75,735.40,,
myv,33,2013-06-08,14:15,3.00,100.0,14.1,119.60,12.30,9.38,1.70,1.75,735.40,,
myv,33,2013-06-15,10:30,0.00,1200.0,13.3,106.80,11.20,,2.16,2.20,,no barom pressure & pH dead meter,
myv,33,2013-06-15,10:30,0.50,750.0,13.3,107.70,11.28,,2.16,2.20,,no barom pressure & pH dead meter,
myv,33,2013-06-15,10:30,1.00,875.0,13.2,108.00,11.32,,2.16,2.20,,no barom pressure & pH dead meter,
myv,33,2013-06-15,10:30,1.50,600.0,13.2,108.00,11.33,,2.16,2.20,,no barom pressure & pH dead meter,
myv,33,2013-06-15,10:30,2.00,550.0,13.2,108.30,11.36,,2.16,2.20,,no barom pressure & pH dead meter,
myv,33,2013-06-15,10:30,2.50,465.0,13.1,108.70,11.43,,2.16,2.20,,no barom pressure & pH dead meter,
myv,33,2013-06-15,10:30,3.00,380.0,13.2,109.50,11.50,,2.16,2.20,,no barom pressure & pH dead meter,
myv,33,2013-06-22,11:10,0.00,555.0,12.7,107.30,11.38,,2.80,3.00,731.90,dead pH meter,
myv,33,2013-06-22,11:10,0.50,490.0,12.6,106.80,11.33,,2.80,3.00,731.90,dead pH meter,
myv,33,2013-06-22,11:10,1.00,389.0,12.6,106.70,11.35,,2.80,3.00,731.90,dead pH meter,
myv,33,2013-06-22,11:10,1.50,275.0,12.6,107.40,11.42,,2.80,3.00,731.90,dead pH meter,
myv,33,2013-06-22,11:10,2.00,260.0,12.6,10.60,11.45,,2.80,3.00,731.90,dead pH meter,
myv,33,2013-06-22,11:10,2.50,215.0,12.6,108.10,11.49,,2.80,3.00,731.90,dead pH meter,
myv,33,2013-06-22,11:10,3.00,188.0,12.6,108.40,11.52,,2.80,3.00,731.90,dead pH meter,
myv,33,2013-06-29,10:27,0.00,380.0,12.2,107.50,11.52,,2.30,2.40,726.50,,
myv,33,2013-06-29,10:27,0.50,330.0,12.3,107.80,11.54,,2.30,2.40,726.50,,
myv,33,2013-06-29,10:27,1.00,500.0,12.3,107.80,11.54,,2.30,2.40,726.50,,
myv,33,2013-06-29,10:27,1.50,310.0,12.3,107.80,11.53,,2.30,2.40,726.50,,
myv,33,2013-06-29,10:27,2.00,165.0,12.3,107.60,11.52,,2.30,2.40,726.50,,
myv,33,2013-06-29,10:27,2.50,220.0,12.3,107.60,11.52,,2.30,2.40,726.50,,
myv,33,2013-06-29,10:27,3.00,40.0,12.3,107.50,11.51,,2.30,2.40,726.50,,
myv,33,2013-07-08,11:56,0.00,190.0,10.7,99.20,11.02,,2.43,2.66,734.50,,
myv,33,2013-07-08,11:56,0.50,80.0,10.6,99.30,11.05,,2.43,2.66,734.50,,
myv,33,2013-07-08,11:56,1.00,77.0,10.6,99.30,11.05,,2.43,2.66,734.50,,
myv,33,2013-07-08,11:56,1.50,37.0,10.6,99.20,11.04,,2.43,2.66,734.50,,
myv,33,2013-07-08,11:56,2.00,75.0,10.6,99.20,11.04,,2.43,2.66,734.50,,
myv,33,2013-07-08,11:56,2.50,70.0,10.6,99.10,11.03,,2.43,2.66,734.50,,
myv,33,2013-07-08,11:56,3.00,63.0,10.6,99.10,11.03,,2.43,2.66,734.50,,
myv,33,2013-07-14,10:33,0.00,315.0,12.9,97.00,10.27,,3.29,3.31,739.8,,
myv,33,2013-07-14,10:33,0.50,270.0,12.7,97.20,10.31,,3.29,3.31,739.8,,
myv,33,2013-07-14,10:33,1.00,190.0,12.7,97.20,10.32,,3.29,3.31,739.8,,
myv,33,2013-07-14,10:33,1.50,167.0,12.6,97.20,10.33,,3.29,3.31,739.8,,
myv,33,2013-07-14,10:33,2.00,130.0,12.6,97.50,10.37,,3.29,3.31,739.8,,
myv,33,2013-07-14,10:33,2.50,120.0,12.6,97.70,10.39,,3.29,3.31,739.8,,
myv,33,2013-07-14,10:33,3.00,98.0,12.6,97.60,10.38,,3.29,3.31,739.8,,
myv,33,2013-07-20,10:33,0.00,550.0,13.9,95.70,9.91,,2.40,2.51,739.8,,
myv,33,2013-07-20,10:33,0.50,440.0,13.7,95.80,9.94,,2.40,2.51,739.8,,
