year,month,yday,hour,par,wspeed,temp,do,do_eq,sch_conv,nhour
2013,NA,147,1,NA,NA,NA,NA,NA,NA,NA
2013,NA,147,2,NA,NA,NA,NA,NA,NA,NA
2013,NA,147,3,NA,NA,NA,NA,NA,NA,NA
2013,NA,147,4,NA,NA,NA,NA,NA,NA,NA
2013,NA,147,5,NA,NA,NA,NA,NA,NA,NA
2013,NA,147,6,NA,NA,NA,NA,NA,NA,NA
2013,NA,147,7,NA,NA,NA,NA,NA,NA,NA
2013,NA,147,8,NA,NA,NA,NA,NA,NA,NA
2013,NA,147,9,NA,NA,NA,NA,NA,NA,NA
2013,NA,147,10,NA,NA,NA,NA,NA,NA,NA
2013,NA,147,11,NA,NA,NA,NA,NA,NA,NA
2013,NA,147,12,NA,NA,NA,NA,NA,NA,NA
2013,NA,147,13,NA,NA,NA,NA,NA,NA,NA
2013,NA,147,14,NA,NA,NA,NA,NA,NA,NA
2013,NA,147,15,NA,NA,NA,NA,NA,NA,NA
2013,NA,147,16,NA,NA,NA,NA,NA,NA,NA
2013,NA,147,17,NA,NA,NA,NA,NA,NA,NA
2013,NA,147,18,NA,NA,NA,NA,NA,NA,NA
2013,NA,147,19,NA,NA,NA,NA,NA,NA,NA
2013,NA,147,20,NA,NA,NA,NA,NA,NA,NA
2013,NA,147,21,NA,NA,NA,NA,NA,NA,NA
2013,NA,147,22,NA,NA,NA,NA,NA,NA,NA
2013,NA,147,23,NA,NA,NA,NA,NA,NA,NA
2013,NA,147,24,NA,NA,NA,NA,NA,NA,NA
2013,NA,148,1,NA,NA,NA,NA,NA,NA,NA
2013,NA,148,2,NA,NA,NA,NA,NA,NA,NA
2013,NA,148,3,NA,NA,NA,NA,NA,NA,NA
2013,NA,148,4,NA,NA,NA,NA,NA,NA,NA
2013,NA,148,5,NA,NA,NA,NA,NA,NA,NA
2013,NA,148,6,NA,NA,NA,NA,NA,NA,NA
2013,NA,148,7,NA,NA,NA,NA,NA,NA,NA
2013,NA,148,8,NA,NA,NA,NA,NA,NA,NA
