Date_Time,Temp,SpCond,TurbSC,LDO%,LDO,PCYV
2013-06-09T13:30:00Z,22.06,157,0,89.9,7.58,0.0032
2013-06-09T14:00:00Z,22.15,157,0,88.6,7.46,0.0032
2013-06-09T14:30:00Z,14.79,155,0,120,11.74,0.0088
2013-06-09T15:00:00Z,14.74,155,0,120.7,11.82,0.0055
2013-06-09T15:30:00Z,14.77,155,0,121.5,11.9,0.0054
2013-06-09T16:00:00Z,14.78,155,0,121.8,11.93,0.0059
2013-06-09T16:30:00Z,14.78,156,0,122.7,12.01,0.006
2013-06-09T17:00:00Z,14.78,155,0,122.2,11.96,0.0068
2013-06-09T17:30:00Z,14.77,155,0,122.5,12,0.0069
2013-06-09T18:00:00Z,14.76,156,0,122.5,12,0.0069
2013-06-09T18:30:00Z,14.74,156,0,122.8,12.03,0.0071
2013-06-09T19:00:00Z,14.73,156,0,122.5,12.01,0.0076
2013-06-09T19:30:00Z,14.74,156,0,121.8,11.94,0.007
2013-06-09T20:00:00Z,14.72,156,0,121.7,11.93,0.0069
2013-06-09T20:30:00Z,14.73,156,0,121.7,11.93,0.007
2013-06-09T21:00:00Z,14.71,156,0,121.9,11.95,0.0072
2013-06-09T21:30:00Z,14.67,156,0,121.6,11.93,0.007
2013-06-09T22:00:00Z,14.67,157,0,121.2,11.9,0.0071
2013-06-09T22:30:00Z,14.64,157,0,121.6,11.94,0.0073
2013-06-09T23:00:00Z,14.61,157,0,120.2,11.81,0.0074
2013-06-09T23:30:00Z,14.57,157,0,120,11.8,0.0074
2013-06-10T00:00:00Z,14.53,157,0,119.4,11.75,0.0075
2013-06-10T00:30:00Z,14.49,157,0,119.2,11.74,0.0073
2013-06-10T01:00:00Z,14.48,157,0,119.3,11.75,0.0075
2013-06-10T01:30:00Z,14.45,157,0,119.1,11.74,0.0074
2013-06-10T02:00:00Z,14.43,157,0,118.9,11.73,0.0077
2013-06-10T02:30:00Z,14.4,156,0,118.6,11.7,0.0081
2013-06-10T03:00:00Z,14.39,157,0,118.2,11.67,0.0081
2013-06-10T03:30:00Z,14.36,157,0,118.1,11.67,0.008
2013-06-10T04:00:00Z,14.33,157,0,117.7,11.64,0.0079
2013-06-10T04:30:00Z,14.32,157,0,117.9,11.66,0.0074
2013-06-10T05:00:00Z,14.31,157,0,117.5,11.62,0.0079
2013-06-10T05:30:00Z,14.29,157,0,117.9,11.66,0.0078
2013-06-10T06:00:00Z,14.28,157,0,117.4,11.62,0.0078
