Date,Time,Temp,pH,SpCond,TurbSC,LDO%,LDO,PCYV,IBatt
M/D/YYYY,HH:MM:SS,?C,Units,?S/cm,NTU,Sat,mg/l,Volts,%Left
6/9/2013,13:30:00,22.06,7.56,157,0,89.9,7.58,0.0032,91
6/9/2013,14:00:00,22.15,7.33,157,0,88.6,7.46,0.0032,91
6/9/2013,14:30:00,14.79,7.5,155,0,120,11.74,0.0088,86
6/9/2013,15:00:00,14.74,7.43,155,0,120.7,11.82,0.0055,81
6/9/2013,15:30:00,14.77,7.42,155,0,121.5,11.9,0.0054,86
6/9/2013,16:00:00,14.78,7.42,155,0,121.8,11.93,0.0059,87
6/9/2013,16:30:00,14.78,7.43,156,0,122.7,12.01,0.006,77
6/9/2013,17:00:00,14.78,7.41,155,0,122.2,11.96,0.0068,86
6/9/2013,17:30:00,14.77,7.42,155,0,122.5,12,0.0069,84
6/9/2013,18:00:00,14.76,7.4,156,0,122.5,12,0.0069,86
6/9/2013,18:30:00,14.74,7.43,156,0,122.8,12.03,0.0071,77
6/9/2013,19:00:00,14.73,7.42,156,0,122.5,12.01,0.0076,89
6/9/2013,19:30:00,14.74,7.42,156,0,121.8,11.94,0.007,79
6/9/2013,20:00:00,14.72,7.42,156,0,121.7,11.93,0.0069,76
6/9/2013,20:30:00,14.73,7.41,156,0,121.7,11.93,0.007,74
6/9/2013,21:00:00,14.71,7.42,156,0,121.9,11.95,0.0072,77
6/9/2013,21:30:00,14.67,7.42,156,0,121.6,11.93,0.007,81
6/9/2013,22:00:00,14.67,7.42,157,0,121.2,11.9,0.0071,74
6/9/2013,22:30:00,14.64,7.4,157,0,121.6,11.94,0.0073,81
6/9/2013,23:00:00,14.61,7.41,157,0,120.2,11.81,0.0074,77
6/9/2013,23:30:00,14.57,7.42,157,0,120,11.8,0.0074,79
6/10/2013,0:00:00,14.53,7.4,157,0,119.4,11.75,0.0075,77
6/10/2013,0:30:00,14.49,7.41,157,0,119.2,11.74,0.0073,82
6/10/2013,1:00:00,14.48,7.41,157,0,119.3,11.75,0.0075,86
6/10/2013,1:30:00,14.45,7.41,157,0,119.1,11.74,0.0074,79
6/10/2013,2:00:00,14.43,7.41,157,0,118.9,11.73,0.0077,81
6/10/2013,2:30:00,14.4,7.41,156,0,118.6,11.7,0.0081,86
6/10/2013,3:00:00,14.39,7.41,157,0,118.2,11.67,0.0081,86
6/10/2013,3:30:00,14.36,7.41,157,0,118.1,11.67,0.008,86
6/10/2013,4:00:00,14.33,7.41,157,0,117.7,11.64,0.0079,86
6/10/2013,4:30:00,14.32,7.41,157,0,117.9,11.66,0.0074,86
6/10/2013,5:00:00,14.31,7.41,157,0,117.5,11.62,0.0079,86
6/10/2013,5:30:00,14.29,7.41,157,0,117.9,11.66,0.0078,86
6/10/2013,6:00:00,14.28,7.41,157,0,117.4,11.62,0.0078,86
6/10/2013,6:30:00,14.28,7.41,157,0,117.2,11.6,0.0084,86
6/10/2013,7:00:00,14.28,7.41,157,0,117.6,11.64,0.0087,86
6/10/2013,7:30:00,14.26,7.41,157,0,117.6,11.64,0.0078,86
6/10/2013,8:00:00,14.28,7.41,157,0,118.3,11.71,0.0069,86
6/10/2013,8:30:00,14.3,7.41,157,0,118.6,11.73,0.0064,86
6/10/2013,9:00:00,14.31,7.41,157,0,118.6,11.73,0.0056,87
6/10/2013,9:30:00,14.32,7.41,156,0,119.2,11.78,0.0054,86
6/10/2013,10:00:00,14.35,7.41,156,0,120.4,11.9,0.0056,86
6/10/2013,10:30:00,14.38,7.41,156,0,120.6,11.9,0.0056,86
6/10/2013,11:00:00,14.4,7.41,156,0,122.6,12.1,0.0056,86
6/10/2013,11:30:00,14.44,7.41,156,0,123.5,12.18,0.0054,86
6/10/2013,12:00:00,14.47,7.41,156,0,124.7,12.29,0.0055,86
6/10/2013,12:30:00,14.52,7.41,157,0,123.7,12.18,0.0055,86
6/10/2013,13:00:00,14.71,7.41,157,0,125.4,12.29,0.0053,86
6/10/2013,13:30:00,15.01,7.41,157,0,123,11.98,0.0045,82
6/10/2013,14:00:00,15.14,7.41,157,0,122.5,11.89,0.004,82
6/10/2013,14:30:00,15.2,7.41,157,0,123.4,11.97,0.0053,71
6/10/2013,15:00:00,15.33,7.41,157,0,123,11.9,0.0059,79
6/10/2013,15:30:00,15.37,7.41,156,0,122.7,11.86,0.0043,74
6/10/2013,16:00:00,15.4,7.4,156,0,122.8,11.86,0.0056,74
6/10/2013,16:30:00,15.43,7.42,157,0,123.4,11.91,0.005,81
6/10/2013,17:00:00,15.47,7.42,157,0,124,11.96,0.0018,76
6/10/2013,17:30:00,15.48,7.42,157,0,124.4,11.99,0.0043,74
6/10/2013,18:00:00,15.49,7.4,157,0,124.4,11.99,0.0053,79
6/10/2013,18:30:00,15.51,7.42,157,0,125.5,12.09,0.0037,74
6/10/2013,19:00:00,15.5,7.4,157,0,125.7,12.11,0.0053,74
6/10/2013,19:30:00,15.49,7.42,157,0,127.1,12.26,0.0063,82
6/10/2013,20:00:00,15.47,7.41,158,0,127.3,12.27,0.007,77
6/10/2013,20:30:00,15.45,7.41,158,0,128,12.35,0.0067,74
6/10/2013,21:00:00,15.45,7.4,158,0,127.6,12.32,0.0066,77
6/10/2013,21:30:00,15.43,7.41,158,0,127.6,12.31,0.0064,79
6/10/2013,22:00:00,15.44,7.42,158,0,126.9,12.24,0.0066,72
6/10/2013,22:30:00,15.37,7.4,158,0,126.2,12.2,0.0078,77
6/10/2013,23:00:00,15.37,7.41,158,0,124.7,12.06,0.0066,71
6/10/2013,23:30:00,15.34,7.41,158,0,123.8,11.97,0.0066,81
6/11/2013,0:00:00,15.33,7.4,158,0,122.9,11.89,0.0067,77
6/11/2013,0:30:00,15.29,7.41,158,0,122.4,11.85,0.0066,81
6/11/2013,1:00:00,15.28,7.41,158,0,122.2,11.83,0.0066,74
6/11/2013,1:30:00,15.27,7.41,158,0,121.9,11.81,0.0068,77
6/11/2013,2:00:00,15.27,7.41,158,0,121.2,11.74,0.0066,77
6/11/2013,2:30:00,15.26,7.41,158,0,120.1,11.64,0.0084,71
6/11/2013,3:00:00,15.24,7.41,158,0,120.6,11.69,0.007,84
6/11/2013,3:30:00,15.26,7.41,157,0,119.8,11.61,0.0072,82
6/11/2013,4:00:00,15.25,7.41,157,0,120,11.63,0.0072,84
6/11/2013,4:30:00,15.26,7.41,157,0,119,11.52,0.0078,84
6/11/2013,5:00:00,15.22,7.41,157,0,119.2,11.56,0.0076,79
6/11/2013,5:30:00,15.17,7.41,157,0,119,11.55,0.0069,77
6/11/2013,6:00:00,15.13,7.41,157,0,118.8,11.54,0.0071,76
6/11/2013,6:30:00,15.09,7.41,157,0,119,11.57,0.007,74
6/11/2013,7:00:00,15.08,7.41,157,0,118.9,11.56,0.006,82
6/11/2013,7:30:00,15.03,7.41,158,0,119,11.59,0.0058,84
6/11/2013,8:00:00,15.02,7.41,158,0,120.4,11.72,0.0054,81
6/11/2013,8:30:00,15,7.41,157,0,121.1,11.8,0.0057,77
6/11/2013,9:00:00,14.99,7.41,158,0,122,11.89,0.0055,84
6/11/2013,9:30:00,15.01,7.41,158,0,122.5,11.94,0.0051,74
6/11/2013,10:00:00,15.06,7.41,158,0,123.6,12.02,0.0045,77
6/11/2013,10:30:00,15.12,7.41,158,0,124.2,12.07,0.0051,84
6/11/2013,11:00:00,15.2,7.41,159,0,123.8,12.01,0.0043,77
6/11/2013,11:30:00,15.26,7.42,159,0,123.9,12,0.0042,68
6/11/2013,12:00:00,15.32,7.41,159,0,124.1,12.01,0.0102,72
6/11/2013,12:30:00,15.39,7.41,159,0,124.1,11.99,0.0038,71
6/11/2013,13:00:00,15.47,7.41,160,0,123.9,11.95,0.0046,68
6/11/2013,13:30:00,15.54,7.41,160,0,125.1,12.05,0.0042,74
6/11/2013,14:00:00,15.62,7.4,160,0,124.4,11.96,0.0018,71
6/11/2013,14:30:00,15.7,7.41,161,0,124.9,11.99,0.0019,63
6/11/2013,15:00:00,15.78,7.4,161,0,124.9,11.97,0.0195,66
6/11/2013,15:30:00,15.85,7.41,161,0,124.9,11.95,0.0045,68
6/11/2013,16:00:00,15.9,7.41,161,0,125.5,11.99,0.0329,69
