Hydrolab DS5X 60804
"Log File Name : Myvatn_33_2016_2"
"Setup Date (M/D/YYYY) : 7/23/2016"
"Setup Time (HH:MM:SS) : 19:42:26"
"Starting Date (M/D/YYYY) : 7/23/2016"
"Starting Time (HH:MM:SS) : 19:42:26"
"Stopping Date (M/D/YYYY) : 8/25/2016"
"Stopping Time (HH:MM:SS) : 20:42:26"
"Interval (HH:MM:SS) : 00:30:00"
"Sensor warmup (HH:MM:SS) : 00:02:00"
"Circltr warmup (HH:MM:SS) : 00:02:00"

"Date","Time","","Temp","","SpCond","","TurbSC","","TurbSC","","LDO%","","LDO","","BP","","PCYV","","IBatt","","IBatt",""
"M/D/YYYY","HH:MM:SS","","°C","","µS/cm","","Volts","","NTU","","Sat","","mg/l","","mmHg","","Volts","","%Left","","Volts",""

7/23/2016,20:12:26,"","22.26","","167","","-2.1899","","5.4","","38.1","","3.22","","738","","0.0328","","79","","11.0",""
7/23/2016,20:42:26,"","22.64","","168","","-2.1883","","4.2","","36.0","","3.02","","738","","0.0329","","74","","10.9",""
7/23/2016,21:12:26,"","22.91","","168","","-2.1919","","4.0","","29.9","","2.50","","738","","0.0342","","72","","10.8",""
7/23/2016,21:42:26,"","23.13","","169","","-2.1906","","4.9","","26.1","","2.16","","738","","0.0064","","69","","10.5",""
7/23/2016,22:12:26,"","23.30","","169","","-2.1899","","4.9","","19.7","","1.63","","738","","0.0346","","66","","10.4",""
7/23/2016,22:42:26,"","23.42","","169","","-2.1917","","3.7","","17.7","","1.46","","738","","0.0333","","66","","10.4",""
7/23/2016,23:12:26,"","23.50","","169","","-2.1895","","4.0","","15.1","","1.24","","738","","0.0276","","64","","10.4",""
7/23/2016,23:42:26,"","23.57","","168","","-2.1929","","3.9","","12.8","","1.05","","738","","0.0331","","63","","10.2",""
7/24/2016,00:12:26,"","23.61","","169","","-2.1938","","2.6","","12.6","","1.04","","738","","0.0254","","61","","10.2",""
7/24/2016,00:42:26,"","23.64","","169","","-2.1935","","2.5","","9.9","","0.81","","738","","0.0270","","60","","10.1",""
7/24/2016,01:12:26,"","23.67","","169","","-2.1887","","2.7","","7.8","","0.64","","738","","0.0243","","58","","10.1",""
7/24/2016,01:42:26,"","23.68","","169","","-2.1938","","2.4","","6.5","","0.54","","738","","0.0225","","57","","10.1",""
7/24/2016,02:12:26,"","23.69","","169","","-2.1949","","2.1","","4.1","","0.34","","738","","0.0201","","57","","10.0",""
7/24/2016,02:42:26,"","23.69","","169","","-2.1946","","2.5","","5.3","","0.44","","738","","0.0207","","55","","9.9",""
7/24/2016,03:12:26,"","23.67","","169","","-2.1947","","1.8","","3.1","","0.25","","738","","0.0214","","54","","9.8",""
7/24/2016,03:42:26,"","23.67","","169","","-2.1942","","2.2","","2.8","","0.23","","738","","0.0215","","52","","9.7",""
7/24/2016,04:12:26,"","23.67","","169","","-2.1948","","2.1","","1.1","","0.09","","738","","0.0210","","52","","9.7",""
7/24/2016,04:42:26,"","23.66","","169","","-2.1948","","1.9","","1.3","","0.11","","738","","0.0199","","52","","9.7",""
7/24/2016,05:12:26,"","23.67","","170","","-2.1950","","1.8","","0.4","","0.03","","738","","0.0249","","50","","9.7",""
7/24/2016,05:42:26,"","23.67","","170","","-2.1950","","1.7","","0.2","","0.02","","738","","0.0252","","50","","9.6",""
7/24/2016,06:12:26,"","23.69","","170","","-2.1948","","1.7","","0.1","","0.00","","738","","0.0311","","50","","9.5",""
7/24/2016,06:42:26,"","23.71","","170","","-2.1951","","1.8","","0.0","","0.00","","738","","0.0338","","48","","9.5",""
7/24/2016,07:12:26,"","23.72","","170","","-2.1949","","1.9","","0.1","","0.01","","738","","0.1296","","47","","9.4",""
7/24/2016,07:42:26,"","23.74","","171","","-2.1952","","1.6","","0.1","","0.01","","738","","0.0522","","47","","9.4",""
7/24/2016,08:12:26,"","23.76","","171","","-2.1948","","1.7","","0.1","","0.01","","738","","0.0571","","47","","9.4",""
7/24/2016,08:42:26,"","23.77","","171","","-2.1951","","1.7","","0.1","","0.01","","738","","0.1335","","45","","9.4",""
7/24/2016,09:12:26,"","23.75","","171","","-2.1955","","1.4","","0.2","","0.02","","738","","0.0789","","45","","9.4",""
7/24/2016,09:42:26,"","23.51","","171","","-2.1970","","0.2","","0.2","","0.01","","738","","0.0666","","48","","9.5",""
7/24/2016,10:12:26,"","12.18","","161","","-2.1983","","0.0","","77.0","","8.01","","738","","0.0056","","48","","9.5",""
7/24/2016,10:42:26,"","14.73","","165","","-2.1985","","0.0","","91.9","","9.04","","738","","0.0087","","50","","9.6",""
7/24/2016,11:12:26,"","14.42","","156","","-2.1977","","0.1","","116.7","","11.57","","738","","0.0141","","44","","9.4",""
7/24/2016,11:42:26,"","14.43","","156","","-2.1970","","0.0","","116.9","","11.57","","738","","0.0191","","47","","9.4",""
7/24/2016,12:12:26,"","14.44","","156","","-2.1972","","0.1","","117.6","","11.64","","738","","0.0172","","45","","9.4",""
7/24/2016,12:42:26,"","14.46","","155","","-2.1978","","0.0","","117.3","","11.61","","738","","0.0166","","45","","9.3",""
7/24/2016,13:12:26,"","14.46","","155","","-2.1980","","0.0","","118.1","","11.70","","738","","0.0181","","45","","9.4",""
7/24/2016,13:42:26,"","14.46","","154","","-2.1983","","0.0","","118.2","","11.70","","738","","0.0175","","42","","9.3",""
7/24/2016,14:12:26,"","14.47","","154","","-2.1980","","0.0","","118.3","","11.71","","738","","0.0189","","45","","9.4",""
7/24/2016,14:42:26,"","14.48","","154","","-2.1977","","0.0","","118.9","","11.76","","738","","0.0148","","45","","9.5",""
7/24/2016,15:12:26,"","14.50","","154","","-2.1981","","0.0","","119.6","","11.83","","738","","0.0160","","45","","9.5",""
7/24/2016,15:42:26,"","14.47","","155","","-2.1983","","0.0","","118.6","","11.74","","738","","0.0163","","47","","9.3",""
