Hydrolab DS5X 60804
"Log File Name : Myvatn_33_2016"
"Setup Date (M/D/YYYY) : 5/26/2016"
"Setup Time (HH:MM:SS) : 15:29:21"
"Starting Date (M/D/YYYY) : 5/26/2016"
"Starting Time (HH:MM:SS) : 15:29:21"
"Stopping Date (M/D/YYYY) : 8/31/2016"
"Stopping Time (HH:MM:SS) : 16:29:21"
"Interval (HH:MM:SS) : 00:30:00"
"Sensor warmup (HH:MM:SS) : 00:02:00"
"Circltr warmup (HH:MM:SS) : 00:02:00"

"Date","Time","","Temp","","SpCond","","TurbSC","","TurbSC","","LDO%","","LDO","","BP","","PCYV","","IBatt","","IBatt",""
"M/D/YYYY","HH:MM:SS","","°C","","µS/cm","","Volts","","NTU","","Sat","","mg/l","","mmHg","","Volts","","Volts","","%Left",""

"Late probe turn on at 052616 155908"
5/26/2016,15:59:21,"","22.71","","164","","-2.1761","","13.4","","66.4","","5.69","","756","","0.0027","","8.6","","30",""
5/26/2016,16:29:21,"","22.63","","164","","-2.1902","","4.1","","65.9","","5.66","","756","","0.0034","","8.7","","34",""
5/26/2016,16:59:21,"","22.50","","164","","-2.1889","","5.4","","65.4","","5.63","","756","","0.0036","","8.8","","36",""
5/26/2016,17:29:21,"","22.38","","163","","-2.1905","","3.8","","65.0","","5.61","","756","","0.0036","","8.9","","36",""
5/26/2016,17:59:21,"","22.27","","164","","-2.1933","","2.8","","64.8","","5.60","","756","","0.0042","","8.8","","36",""
5/26/2016,18:29:21,"","22.17","","164","","-2.1946","","1.5","","64.5","","5.59","","756","","0.0037","","8.8","","36",""
5/26/2016,18:59:21,"","22.07","","163","","-2.1942","","1.6","","64.2","","5.57","","756","","0.0041","","8.9","","37",""
5/26/2016,19:29:21,"","22.00","","163","","-2.1901","","4.1","","64.0","","5.57","","756","","0.0040","","8.8","","37",""
5/26/2016,19:59:21,"","21.95","","163","","-2.1953","","1.5","","63.9","","5.56","","756","","0.0039","","8.8","","36",""
5/26/2016,20:29:21,"","21.91","","163","","-2.1945","","1.8","","63.8","","5.56","","756","","0.0038","","8.8","","36",""
5/26/2016,20:59:21,"","21.75","","163","","-2.1952","","1.1","","63.4","","5.54","","756","","0.0038","","8.8","","36",""
5/26/2016,21:29:21,"","21.72","","163","","-2.1952","","1.1","","63.2","","5.52","","756","","0.0036","","8.8","","37",""
5/26/2016,21:59:21,"","21.73","","163","","-2.1960","","1.1","","63.4","","5.54","","756","","0.0039","","8.8","","36",""
5/26/2016,22:29:21,"","21.72","","163","","-2.1955","","1.0","","63.5","","5.55","","756","","0.0038","","8.8","","36",""
5/26/2016,22:59:21,"","21.72","","163","","-2.1940","","1.3","","63.3","","5.53","","756","","0.0038","","8.8","","36",""
5/26/2016,23:29:21,"","21.72","","163","","-2.1966","","0.5","","63.2","","5.52","","756","","0.0036","","8.8","","36",""
5/26/2016,23:59:21,"","21.72","","163","","-2.1969","","0.5","","63.1","","5.52","","756","","0.0036","","8.8","","36",""
5/27/2016,00:29:21,"","21.72","","163","","-2.1967","","0.4","","63.2","","5.52","","756","","0.0036","","8.8","","36",""
5/27/2016,00:59:21,"","21.71","","163","","-2.1961","","0.9","","63.0","","5.51","","756","","0.0038","","8.8","","36",""
5/27/2016,01:29:21,"","21.71","","163","","-2.1973","","0.8","","63.0","","5.51","","756","","0.0039","","8.8","","36",""
5/27/2016,01:59:21,"","21.69","","163","","-2.1959","","0.8","","63.2","","5.53","","756","","0.0035","","8.8","","36",""
5/27/2016,02:29:21,"","21.67","","163","","-2.1964","","0.6","","63.2","","5.53","","756","","0.0036","","8.8","","36",""
5/27/2016,02:59:21,"","21.64","","163","","-2.1972","","0.7","","62.9","","5.50","","756","","0.0037","","8.8","","36",""
5/27/2016,03:29:21,"","21.61","","163","","-2.1962","","0.5","","62.8","","5.50","","756","","0.0036","","8.7","","34",""
5/27/2016,03:59:21,"","21.58","","163","","-2.1967","","0.3","","63.1","","5.53","","756","","0.0037","","8.7","","34",""
5/27/2016,04:29:21,"","21.55","","163","","-2.1966","","0.5","","62.9","","5.52","","756","","0.0037","","8.7","","34",""
5/27/2016,04:59:21,"","21.53","","163","","-2.1970","","0.3","","62.7","","5.50","","756","","0.0035","","8.7","","34",""
5/27/2016,05:29:21,"","21.52","","163","","-2.1510","","29.3","","62.8","","5.51","","756","","0.0036","","8.7","","34",""
5/27/2016,05:59:21,"","21.51","","163","","-2.1976","","0.3","","62.9","","5.52","","756","","0.0037","","8.7","","36",""
5/27/2016,06:29:21,"","21.48","","163","","-2.1966","","0.5","","62.9","","5.52","","756","","0.0037","","8.7","","34",""
5/27/2016,06:59:21,"","21.49","","163","","-2.1957","","0.6","","62.8","","5.51","","756","","0.0037","","8.8","","34",""
5/27/2016,07:29:21,"","21.50","","163","","-2.1970","","0.3","","62.8","","5.51","","756","","0.0035","","8.7","","34",""
5/27/2016,07:59:21,"","21.50","","163","","-2.1967","","0.8","","63.0","","5.53","","756","","0.0036","","8.7","","34",""
5/27/2016,08:29:21,"","21.51","","163","","-2.1980","","0.0","","62.9","","5.52","","756","","0.0037","","8.7","","34",""
5/27/2016,08:59:21,"","21.52","","163","","-2.1966","","0.6","","62.8","","5.51","","756","","0.0036","","8.7","","34",""
5/27/2016,09:29:21,"","21.54","","163","","-2.1974","","0.3","","62.7","","5.50","","756","","0.0037","","8.7","","34",""
5/27/2016,09:59:21,"","21.55","","163","","-2.1960","","0.4","","62.9","","5.52","","756","","0.0036","","8.7","","34",""
5/27/2016,10:29:21,"","21.58","","163","","-2.1967","","0.3","","62.8","","5.50","","756","","0.0037","","8.7","","34",""
5/27/2016,10:59:21,"","21.63","","163","","-2.1967","","0.5","","62.9","","5.51","","756","","0.0037","","8.7","","33",""
5/27/2016,11:29:21,"","21.70","","163","","-2.1975","","0.2","","63.0","","5.51","","756","","0.0039","","8.7","","34",""
5/27/2016,11:59:21,"","21.71","","163","","-2.1973","","0.3","","62.9","","5.50","","756","","0.0038","","8.7","","34",""
5/27/2016,12:29:21,"","21.73","","163","","-2.1971","","0.1","","63.1","","5.51","","756","","0.0038","","8.7","","34",""
5/27/2016,12:59:21,"","21.75","","163","","-2.1972","","0.2","","62.9","","5.49","","756","","0.0037","","8.7","","34",""
5/27/2016,13:29:21,"","21.74","","163","","-2.1979","","0.2","","62.9","","5.50","","756","","0.0038","","8.7","","33",""
5/27/2016,13:59:21,"","21.79","","163","","-2.1974","","0.0","","62.9","","5.49","","756","","0.0037","","8.7","","34",""
5/27/2016,14:29:21,"","21.83","","163","","-2.1974","","0.1","","63.0","","5.49","","756","","0.0037","","8.7","","34",""
5/27/2016,14:59:21,"","21.88","","163","","-2.1974","","0.0","","63.0","","5.49","","756","","0.0040","","8.8","","34",""
5/27/2016,15:29:21,"","21.92","","163","","-2.1972","","0.2","","63.0","","5.48","","756","","0.0039","","8.7","","34",""
5/27/2016,15:59:21,"","21.99","","163","","-2.1970","","0.0","","63.0","","5.48","","756","","0.0039","","8.7","","34",""
5/27/2016,16:29:21,"","22.00","","163","","-2.1972","","0.3","","63.1","","5.49","","756","","0.0040","","8.7","","34",""
5/27/2016,16:59:21,"","22.01","","163","","-2.1977","","0.3","","62.9","","5.46","","756","","0.0039","","8.7","","34",""
5/27/2016,17:29:21,"","22.01","","163","","-2.1972","","0.2","","63.0","","5.47","","756","","0.0039","","8.7","","34",""
5/27/2016,17:59:21,"","22.01","","163","","-2.1964","","0.4","","63.0","","5.48","","756","","0.0040","","8.7","","34",""
5/27/2016,18:29:21,"","21.99","","163","","-2.1973","","0.1","","62.7","","5.45","","756","","0.0039","","8.7","","34",""
5/27/2016,18:59:21,"","21.99","","163","","-2.1970","","0.3","","62.7","","5.45","","756","","0.0041","","8.7","","33",""
5/27/2016,19:29:21,"","21.98","","163","","-2.1966","","0.1","","62.8","","5.46","","756","","0.0039","","8.7","","33",""
5/27/2016,19:59:21,"","21.99","","163","","-2.1978","","0.0","","62.7","","5.45","","756","","0.0040","","8.7","","33",""
5/27/2016,20:29:21,"","22.00","","163","","-2.1977","","0.0","","62.6","","5.44","","756","","0.0041","","8.7","","33",""
5/27/2016,20:59:21,"","22.01","","163","","-2.1979","","0.0","","62.5","","5.43","","756","","0.0039","","8.7","","34",""
5/27/2016,21:29:21,"","22.00","","163","","-2.1967","","0.0","","62.7","","5.45","","756","","0.0041","","8.7","","33",""
5/27/2016,21:59:21,"","21.99","","163","","-2.1973","","0.3","","62.8","","5.46","","756","","0.0042","","8.7","","33",""
5/27/2016,22:29:21,"","21.96","","163","","-2.1976","","0.2","","62.6","","5.45","","756","","0.0041","","8.7","","33",""
5/27/2016,22:59:21,"","21.92","","163","","-2.1974","","0.0","","62.5","","5.44","","756","","0.0043","","8.7","","33",""
5/27/2016,23:29:21,"","21.87","","163","","-2.1977","","0.1","","62.5","","5.45","","756","","0.0044","","8.7","","33",""
5/27/2016,23:59:21,"","21.82","","163","","-2.1975","","0.2","","62.5","","5.45","","756","","0.0042","","8.7","","33",""
5/28/2016,00:29:21,"","21.77","","163","","-2.1971","","0.3","","62.4","","5.45","","756","","0.0043","","8.7","","33",""
5/28/2016,00:59:21,"","21.75","","163","","-2.1970","","0.1","","62.4","","5.45","","756","","0.0043","","8.7","","33",""
5/28/2016,01:29:21,"","21.72","","163","","-2.1973","","0.0","","62.3","","5.44","","756","","0.0045","","8.7","","33",""
5/28/2016,01:59:21,"","21.69","","163","","-2.1971","","0.1","","62.3","","5.45","","756","","0.0043","","8.7","","33",""
5/28/2016,02:29:21,"","21.67","","163","","-2.1977","","0.2","","62.0","","5.43","","756","","0.0045","","8.7","","33",""
5/28/2016,02:59:21,"","21.68","","163","","-2.1981","","0.0","","62.3","","5.45","","756","","0.0044","","8.7","","33",""
5/28/2016,03:29:21,"","21.69","","163","","-2.1968","","0.5","","62.2","","5.44","","756","","0.0044","","8.7","","33",""
5/28/2016,03:59:21,"","21.69","","163","","-2.1977","","0.0","","62.1","","5.43","","756","","0.0045","","8.7","","33",""
5/28/2016,04:29:21,"","21.66","","163","","-2.1983","","0.0","","62.3","","5.45","","756","","0.0047","","8.7","","33",""
5/28/2016,04:59:21,"","21.63","","163","","-2.1977","","0.0","","62.1","","5.44","","756","","0.0045","","8.7","","33",""
5/28/2016,05:29:21,"","21.60","","163","","-2.1976","","0.1","","62.0","","5.43","","756","","0.0043","","8.7","","33",""
5/28/2016,05:59:21,"","21.58","","163","","-2.1974","","0.1","","61.9","","5.43","","756","","0.0046","","8.6","","33",""
5/28/2016,06:29:21,"","21.56","","163","","-2.1970","","0.3","","62.0","","5.43","","756","","0.0046","","8.6","","33",""
5/28/2016,06:59:21,"","21.58","","163","","-2.1984","","0.0","","61.8","","5.42","","756","","0.0045","","8.7","","33",""
5/28/2016,07:29:21,"","21.62","","163","","-2.1974","","0.0","","62.1","","5.44","","756","","0.0046","","8.7","","33",""
5/28/2016,07:59:21,"","21.68","","163","","-2.1970","","0.1","","61.9","","5.42","","756","","0.0044","","8.7","","33",""
5/28/2016,08:29:21,"","21.74","","163","","-2.1977","","0.0","","62.0","","5.42","","756","","0.0044","","8.7","","33",""
5/28/2016,08:59:21,"","21.80","","163","","-2.1968","","0.3","","62.0","","5.41","","756","","0.0044","","8.7","","33",""
5/28/2016,09:29:21,"","21.86","","163","","-2.1976","","0.0","","62.1","","5.41","","756","","0.0044","","8.7","","33",""
5/28/2016,09:59:21,"","21.96","","164","","-2.1979","","0.0","","62.1","","5.40","","756","","0.0043","","8.7","","33",""
