Hydrolab DS5X 60804
"Log File Name : Myvatn_33_July_2017"
"Setup Date (M/D/YYYY) : 7/17/2017"
"Setup Time (HH:MM:SS) : 14:01:43"
"Starting Date (M/D/YYYY) : 7/17/2017"
"Starting Time (HH:MM:SS) : 14:01:43"
"Stopping Date (M/D/YYYY) : 11/1/2017"
"Stopping Time (HH:MM:SS) : 15:01:43"
"Interval (HH:MM:SS) : 00:30:00"
"Sensor warmup (HH:MM:SS) : 00:02:00"
"Circltr warmup (HH:MM:SS) : 00:02:00"

"Date","Time","","Temp","","SpCond","","TurbSC","","LDO%","","LDO","","BP","","PCYV","","IBatt","","IBatt","","TurbSC",""
"M/D/YYYY","HH:MM:SS","","°C","","µS/cm","","Volts","","Sat","","mg/l","","mmHg","","Volts","","%Left","","Volts","","NTU",""

"Power loss from 010170 000000 to 071717 142249"
7/17/2017,14:31:43,"","13.24","","153","","-2.1981","","106.6","","10.72","","730","","0.0159","","98","","12.0","","0.0",""
7/17/2017,15:01:43,"","13.34","","153","","-2.1986","","106.6","","10.70","","730","","0.0104","","96","","11.8","","0.0",""
7/17/2017,15:31:43,"","13.45","","153","","-2.1999","","107.0","","10.71","","730","","0.0018","","96","","11.8","","0.0",""
7/17/2017,16:01:43,"","13.57","","154","","-2.1993","","106.9","","10.67","","730","","0.0018","","94","","11.8","","0.0",""
7/17/2017,16:31:43,"","13.52","","154","","-2.1988","","108.1","","10.80","","730","","0.0206","","93","","11.8","","0.0",""
7/17/2017,17:01:43,"","13.56","","153","","-2.1990","","107.5","","10.74","","730","","0.1043","","93","","11.6","","0.0",""
7/17/2017,17:31:43,"","13.55","","153","","-2.1995","","108.8","","10.86","","730","","0.0064","","94","","11.8","","0.0",""
7/17/2017,18:01:43,"","13.54","","153","","-2.1997","","109.1","","10.90","","730","","0.0150","","94","","11.8","","0.0",""
7/17/2017,18:31:43,"","13.53","","153","","-2.1985","","109.3","","10.92","","730","","0.0092","","89","","11.6","","0.0",""
7/17/2017,19:01:43,"","13.51","","152","","-2.1993","","110.3","","11.03","","730","","0.0050","","91","","11.5","","0.0",""
7/17/2017,19:31:43,"","13.51","","153","","-2.1990","","110.6","","11.06","","730","","0.0085","","91","","11.6","","0.0",""
7/17/2017,20:01:43,"","13.50","","153","","-2.1993","","110.4","","11.04","","730","","0.0069","","91","","11.6","","0.0",""
7/17/2017,20:31:43,"","13.50","","153","","-2.1991","","110.9","","11.09","","730","","0.0075","","91","","11.6","","0.0",""
7/17/2017,21:01:43,"","13.49","","153","","-2.1996","","111.1","","11.11","","730","","0.0064","","89","","11.5","","0.0",""
7/17/2017,21:31:43,"","13.48","","153","","-2.1987","","111.3","","11.13","","730","","0.0079","","91","","11.6","","0.0",""
7/17/2017,22:01:43,"","13.47","","153","","-2.1970","","111.5","","11.16","","730","","0.0076","","89","","11.5","","0.0",""
7/17/2017,22:31:43,"","13.47","","153","","-2.1994","","111.5","","11.16","","730","","0.0072","","91","","11.6","","0.0",""
7/17/2017,23:01:43,"","13.45","","153","","-2.1994","","111.4","","11.15","","730","","0.0154","","89","","11.5","","0.0",""
7/17/2017,23:31:43,"","13.43","","153","","-2.1990","","112.0","","11.21","","730","","0.0071","","89","","11.5","","0.0",""
7/18/2017,00:01:43,"","13.44","","153","","-2.1990","","112.3","","11.24","","730","","0.0062","","87","","11.5","","0.0",""
7/18/2017,00:31:43,"","13.40","","153","","-2.1952","","111.7","","11.20","","730","","0.0070","","86","","11.2","","0.0",""
7/18/2017,01:01:43,"","13.39","","153","","-2.1993","","111.0","","11.12","","730","","0.0127","","86","","11.4","","0.0",""
7/18/2017,01:31:43,"","13.36","","153","","-2.1987","","110.9","","11.12","","730","","0.0113","","86","","11.3","","0.0",""
7/18/2017,02:01:43,"","13.35","","153","","-2.1999","","110.5","","11.08","","730","","0.0072","","82","","11.3","","0.0",""
7/18/2017,02:31:43,"","13.34","","153","","-2.1991","","109.8","","11.01","","730","","0.0106","","84","","11.2","","0.0",""
7/18/2017,03:01:43,"","13.31","","152","","-2.1999","","109.3","","10.98","","730","","0.0083","","84","","11.2","","0.0",""
7/18/2017,03:31:43,"","13.29","","152","","-2.1995","","108.9","","10.93","","730","","0.0087","","82","","11.2","","0.0",""
7/18/2017,04:01:43,"","13.25","","152","","-2.1993","","108.9","","10.95","","730","","0.0077","","82","","11.4","","0.0",""
7/18/2017,04:31:43,"","13.24","","152","","-2.1996","","108.7","","10.93","","730","","0.0078","","84","","11.3","","0.0",""
7/18/2017,05:01:43,"","13.22","","152","","-2.1996","","108.2","","10.88","","730","","0.0136","","82","","11.1","","0.0",""
7/18/2017,05:31:43,"","13.18","","152","","-2.1992","","108.2","","10.90","","730","","0.0247","","82","","11.1","","0.0",""
7/18/2017,06:01:43,"","13.15","","152","","-2.1999","","108.1","","10.89","","730","","0.0177","","84","","11.2","","0.0",""
