Hydrolab DS5X 60804
"Log File Name : Myvatn_33_August_2017"
"Setup Date (M/D/YYYY) : 8/20/2017"
"Setup Time (HH:MM:SS) : 15:03:45"
"Starting Date (M/D/YYYY) : 8/20/2017"
"Starting Time (HH:MM:SS) : 15:03:45"
"Stopping Date (M/D/YYYY) : 10/16/2017"
"Stopping Time (HH:MM:SS) : 16:03:45"
"Interval (HH:MM:SS) : 00:30:00"
"Sensor warmup (HH:MM:SS) : 00:02:00"
"Circltr warmup (HH:MM:SS) : 00:02:00"

"Date","Time","","Temp","","SpCond","","TurbSC","","TurbSC","","LDO%","","LDO","","BP","","PCYV","","IBatt","","IBatt",""
"M/D/YYYY","HH:MM:SS","","°C","","µS/cm","","Volts","","NTU","","Sat","","mg/l","","mmHg","","Volts","","Volts","","%Left",""

8/20/2017,15:33:45,"","15.99","","174","","-2.1920","","3.5","","91.7","","8.68","","730","","0.2602","","11.7","","93",""
8/20/2017,16:03:45,"","16.55","","175","","-2.1912","","3.9","","90.0","","8.43","","730","","0.2417","","11.7","","93",""
8/20/2017,16:33:45,"","17.02","","176","","-2.1924","","3.6","","86.8","","8.04","","730","","0.2300","","11.7","","94",""
8/20/2017,17:03:45,"","17.44","","176","","-2.1510","","29.1","","88.7","","8.14","","730","","0.2317","","11.7","","91",""
8/20/2017,17:33:45,"","17.82","","177","","-2.1932","","2.9","","83.6","","7.62","","730","","0.2077","","11.6","","93",""
8/20/2017,18:03:45,"","18.20","","177","","-2.1914","","3.9","","81.0","","7.32","","730","","0.2114","","11.6","","91",""
8/20/2017,18:33:45,"","18.54","","178","","-2.1925","","3.1","","76.9","","6.91","","730","","0.2136","","11.6","","91",""
8/20/2017,19:03:45,"","18.86","","178","","-2.1936","","3.0","","73.8","","6.58","","730","","0.2066","","11.6","","91",""
8/20/2017,19:33:45,"","19.16","","179","","-2.1933","","2.7","","67.1","","5.95","","730","","0.2391","","11.6","","91",""
8/20/2017,20:03:45,"","19.39","","179","","-2.1937","","2.7","","60.2","","5.31","","730","","0.2179","","11.6","","91",""
8/20/2017,20:33:45,"","19.61","","180","","-2.1939","","2.3","","59.2","","5.20","","730","","0.2291","","11.6","","91",""
8/20/2017,21:03:45,"","19.66","","180","","-2.1936","","2.4","","54.3","","4.77","","730","","0.2300","","11.6","","89",""
8/20/2017,21:33:45,"","19.71","","181","","-2.1935","","2.6","","48.8","","4.28","","730","","0.2276","","11.5","","89",""
8/20/2017,22:03:45,"","19.71","","180","","-2.1943","","2.2","","43.7","","3.84","","730","","0.2267","","11.5","","89",""
8/20/2017,22:33:45,"","19.68","","182","","-2.1935","","2.3","","42.3","","3.71","","730","","0.2359","","11.5","","87",""
8/20/2017,23:03:45,"","19.63","","182","","-2.1949","","2.1","","38.5","","3.38","","730","","0.2322","","11.5","","89",""
8/20/2017,23:33:45,"","19.57","","183","","-2.1942","","2.0","","30.9","","2.72","","730","","0.2362","","11.4","","87",""
8/21/2017,00:03:45,"","19.52","","183","","-2.1951","","1.8","","26.8","","2.36","","730","","0.2294","","11.4","","87",""
8/21/2017,00:33:45,"","19.46","","183","","-2.1953","","2.3","","23.4","","2.07","","730","","0.2279","","11.4","","87",""
8/21/2017,01:03:45,"","19.41","","183","","-2.1950","","2.0","","22.8","","2.01","","730","","0.2337","","11.4","","87",""
8/21/2017,01:33:45,"","19.38","","182","","-2.1951","","1.8","","16.8","","1.49","","730","","0.2348","","11.4","","87",""
8/21/2017,02:03:45,"","19.34","","183","","-2.1954","","1.7","","14.1","","1.25","","730","","0.2326","","11.4","","87",""
8/21/2017,02:33:45,"","19.31","","182","","-2.1951","","1.9","","10.2","","0.90","","730","","0.2408","","11.4","","86",""
8/21/2017,03:03:45,"","19.29","","183","","-2.1946","","1.6","","7.5","","0.66","","730","","0.2454","","11.4","","87",""
8/21/2017,03:33:45,"","19.25","","183","","-2.1952","","1.5","","6.0","","0.53","","730","","0.2532","","11.4","","86",""
8/21/2017,04:03:45,"","19.21","","183","","-2.1953","","1.5","","4.4","","0.39","","730","","0.2717","","11.4","","86",""
8/21/2017,04:33:45,"","19.17","","183","","-2.1946","","1.6","","3.6","","0.32","","730","","0.2684","","11.4","","86",""
8/21/2017,05:03:45,"","19.16","","182","","-2.1949","","1.6","","2.3","","0.21","","730","","0.2851","","11.4","","86",""
8/21/2017,05:33:45,"","19.14","","183","","-2.1948","","1.9","","1.4","","0.12","","730","","0.3062","","11.4","","84",""
8/21/2017,06:03:45,"","19.15","","183","","-2.1948","","1.8","","0.6","","0.05","","730","","0.3127","","11.4","","86",""
8/21/2017,06:33:45,"","19.16","","183","","-2.1955","","1.3","","0.0","","0.00","","730","","0.3530","","11.4","","84",""
8/21/2017,07:03:45,"","19.22","","183","","-2.1951","","1.5","","0.0","","0.00","","730","","0.4343","","11.3","","86",""
8/21/2017,07:33:45,"","19.27","","183","","-2.1950","","1.5","","0.0","","0.00","","730","","0.4547","","11.3","","86",""
8/21/2017,08:03:45,"","19.30","","183","","-2.1955","","1.4","","0.0","","0.00","","730","","0.5117","","11.3","","84",""
8/21/2017,08:33:45,"","19.33","","184","","-2.1951","","1.5","","0.0","","0.00","","730","","0.6030","","11.3","","84",""
8/21/2017,09:03:45,"","19.36","","184","","-2.1957","","1.7","","0.0","","0.00","","730","","0.7116","","11.3","","84",""
8/21/2017,09:33:45,"","19.40","","184","","-2.1951","","1.9","","0.0","","0.00","","730","","0.7779","","11.3","","84",""
8/21/2017,10:03:45,"","19.42","","183","","-2.1943","","2.2","","0.0","","0.00","","730","","1.1751","","11.2","","82",""
8/21/2017,10:33:45,"","18.77","","183","","-2.1938","","2.1","","0.0","","0.00","","730","","1.2708","","11.2","","82",""
8/21/2017,11:03:45,"","17.76","","182","","-2.1931","","2.3","","0.0","","0.00","","730","","1.4396","","11.2","","82",""
8/21/2017,11:33:45,"","17.49","","182","","-2.1928","","2.9","","0.0","","0.00","","730","","1.5394","","11.2","","82",""
8/21/2017,12:03:45,"","17.46","","182","","-2.1950","","1.8","","0.0","","0.00","","730","","1.4995","","11.2","","82",""
8/21/2017,12:33:45,"","17.61","","182","","-2.1937","","2.4","","0.0","","0.00","","730","","1.6465","","11.2","","82",""
8/21/2017,13:03:45,"","17.85","","182","","-2.1942","","2.0","","0.0","","0.00","","730","","1.4590","","11.2","","82",""
8/21/2017,13:33:45,"","18.16","","182","","-2.1944","","1.8","","0.0","","0.00","","730","","1.4868","","11.2","","82",""
8/21/2017,14:03:45,"","18.45","","182","","-2.1946","","2.0","","0.0","","0.00","","730","","1.5753","","11.2","","82",""
8/21/2017,14:33:45,"","18.74","","183","","-2.1948","","1.7","","0.0","","0.00","","730","","1.5182","","11.2","","82",""
8/21/2017,15:03:45,"","18.91","","183","","-2.1953","","1.7","","0.0","","0.00","","730","","1.4409","","11.2","","81",""
8/21/2017,15:33:45,"","19.31","","182","","-2.1951","","1.7","","0.1","","0.01","","730","","1.4533","","11.2","","81",""
8/21/2017,16:03:45,"","20.09","","183","","-2.1940","","2.3","","11.9","","1.04","","730","","1.4303","","11.1","","81",""
8/21/2017,16:33:45,"","19.45","","182","","-2.1946","","2.0","","25.3","","2.23","","730","","1.4057","","11.1","","81",""
8/21/2017,17:03:45,"","18.65","","180","","-2.1949","","1.8","","36.9","","3.31","","730","","1.4258","","11.1","","81",""
8/21/2017,17:33:45,"","17.76","","181","","-2.1951","","1.7","","37.0","","3.38","","730","","1.2762","","11.1","","79",""
8/21/2017,18:03:45,"","16.76","","181","","-2.1949","","1.6","","35.2","","3.28","","730","","1.2261","","11.1","","79",""
8/21/2017,18:33:45,"","10.80","","164","","-2.1974","","0.2","","110.9","","11.79","","730","","0.0371","","11.0","","77",""
8/21/2017,19:03:45,"","10.72","","164","","-2.1961","","1.2","","112.3","","11.96","","730","","0.0458","","10.8","","76",""
8/21/2017,19:33:45,"","10.72","","164","","-2.1961","","1.1","","111.5","","11.88","","730","","0.0283","","10.9","","77",""
8/21/2017,20:03:45,"","10.72","","164","","-2.1966","","1.3","","111.8","","11.90","","730","","0.0250","","10.9","","74",""
8/21/2017,20:33:45,"","10.70","","164","","-2.1951","","1.1","","111.7","","11.90","","730","","0.0458","","10.8","","74",""
8/21/2017,21:03:45,"","10.69","","164","","-2.1945","","2.0","","111.6","","11.90","","730","","0.0337","","10.9","","76",""
8/21/2017,21:33:45,"","10.68","","163","","-2.1715","","16.3","","110.9","","11.82","","730","","0.1010","","11.0","","77",""
8/21/2017,22:03:45,"","10.67","","163","","-2.1971","","0.1","","110.6","","11.79","","730","","0.0751","","10.9","","76",""
8/21/2017,22:33:45,"","10.63","","163","","-2.1984","","0.0","","110.6","","11.81","","730","","0.0300","","10.9","","77",""
8/21/2017,23:03:45,"","10.63","","163","","-2.1981","","0.1","","110.4","","11.79","","730","","0.0376","","10.9","","76",""
8/21/2017,23:33:45,"","10.60","","162","","-2.1973","","0.0","","110.6","","11.82","","730","","0.0359","","10.9","","76",""
8/22/2017,00:03:45,"","10.57","","162","","-2.1982","","0.0","","110.5","","11.81","","730","","0.0260","","10.9","","76",""
8/22/2017,00:33:45,"","10.55","","162","","-2.1983","","0.0","","110.3","","11.79","","730","","0.0312","","10.9","","76",""
8/22/2017,01:03:45,"","10.51","","162","","-2.1956","","1.0","","109.8","","11.75","","730","","0.0389","","10.9","","76",""
8/22/2017,01:33:45,"","10.49","","161","","-2.1968","","0.9","","109.2","","11.69","","730","","0.0375","","10.9","","76",""
8/22/2017,02:03:45,"","10.46","","161","","-2.1970","","0.5","","109.0","","11.68","","730","","0.0312","","10.9","","76",""
8/22/2017,02:33:45,"","10.44","","161","","-2.1967","","0.5","","109.4","","11.73","","730","","0.0286","","10.9","","74",""
8/22/2017,03:03:45,"","10.40","","161","","-2.1974","","0.7","","109.4","","11.74","","730","","0.0292","","10.8","","74",""
8/22/2017,03:33:45,"","10.41","","161","","-2.1974","","0.4","","108.8","","11.67","","730","","0.0860","","10.8","","74",""
8/22/2017,04:03:45,"","10.39","","161","","-2.1938","","1.2","","109.2","","11.72","","730","","0.0337","","10.8","","74",""
8/22/2017,04:33:45,"","10.37","","161","","-2.1967","","0.8","","108.8","","11.68","","730","","0.0422","","10.8","","74",""
8/22/2017,05:03:45,"","10.36","","161","","-2.1957","","1.2","","108.7","","11.68","","730","","0.0414","","10.8","","74",""
8/22/2017,05:33:45,"","10.36","","162","","-2.1956","","1.2","","108.2","","11.63","","730","","0.0419","","10.8","","74",""
8/22/2017,06:03:45,"","10.37","","162","","-2.1925","","1.7","","108.4","","11.64","","730","","0.0512","","10.8","","74",""
8/22/2017,06:33:45,"","10.36","","162","","-2.1949","","1.5","","108.4","","11.64","","730","","0.0235","","10.8","","74",""
8/22/2017,07:03:45,"","10.37","","162","","-2.1967","","1.1","","108.3","","11.63","","730","","0.0304","","10.8","","74",""
8/22/2017,07:33:45,"","10.37","","162","","-2.1971","","0.5","","108.4","","11.64","","730","","0.0205","","10.8","","74",""
8/22/2017,08:03:45,"","10.38","","162","","-2.1961","","0.4","","109.5","","11.75","","730","","0.0216","","10.8","","74",""
8/22/2017,08:33:45,"","10.39","","162","","-2.1961","","1.1","","108.7","","11.67","","730","","0.0207","","10.8","","72",""
8/22/2017,09:03:45,"","10.42","","162","","-2.1960","","0.9","","108.5","","11.64","","730","","0.0096","","10.8","","72",""
8/22/2017,09:33:45,"","10.43","","162","","-2.1957","","1.0","","109.4","","11.73","","730","","0.4263","","10.7","","71",""
