Hydrolab DS5X 60804
"Log File Name : Myvatn_33_2017"
"Setup Date (M/D/YYYY) : 5/24/2017"
"Setup Time (HH:MM:SS) : 08:47:28"
"Starting Date (M/D/YYYY) : 5/24/2017"
"Starting Time (HH:MM:SS) : 11:00:00"
"Stopping Date (M/D/YYYY) : 10/21/2017"
"Stopping Time (HH:MM:SS) : 09:47:28"
"Interval (HH:MM:SS) : 00:30:00"
"Sensor warmup (HH:MM:SS) : 00:02:00"
"Circltr warmup (HH:MM:SS) : 00:02:00"

"Date","Time","","Temp","","SpCond","","TurbSC","","TurbSC","","LDO%","","LDO","","BP","","PCYV","","IBatt","","IBatt",""
"M/D/YYYY","HH:MM:SS","","°C","","µS/cm","","Volts","","NTU","","Sat","","mg/l","","mmHg","","Volts","","%Left","","Volts",""

5/24/2017,11:00:00,"","17.70","","166","","-2.1986","","0.0","","86.6","","7.92","","730","","0.0047","","71","","10.7",""
5/24/2017,11:30:00,"","9.74","","154","","-2.1961","","0.2","","112.6","","12.27","","730","","0.0445","","68","","10.5",""
5/24/2017,12:00:00,"","9.72","","153","","-2.1975","","0.0","","112.4","","12.26","","730","","0.0295","","72","","10.6",""
5/24/2017,12:30:00,"","9.72","","153","","-2.1979","","0.0","","112.9","","12.31","","730","","0.0154","","72","","10.7",""
5/24/2017,13:00:00,"","9.73","","153","","-2.1977","","0.0","","112.4","","12.25","","730","","0.0216","","66","","10.5",""
5/24/2017,13:30:00,"","9.74","","152","","-2.1983","","0.0","","112.7","","12.28","","730","","0.1687","","71","","10.7",""
5/24/2017,14:00:00,"","9.75","","152","","-2.1988","","0.0","","112.7","","12.28","","730","","0.0333","","68","","10.6",""
5/24/2017,14:30:00,"","9.78","","151","","-2.1983","","0.0","","113.3","","12.33","","730","","0.0268","","69","","10.6",""
5/24/2017,15:00:00,"","9.82","","151","","-2.1985","","0.0","","113.4","","12.33","","730","","0.0141","","72","","10.6",""
5/24/2017,15:30:00,"","9.85","","150","","-2.1983","","0.0","","114.1","","12.40","","730","","0.0076","","66","","10.4",""
5/24/2017,16:00:00,"","9.88","","150","","-2.1987","","0.0","","114.3","","12.41","","730","","0.0201","","69","","10.6",""
5/24/2017,16:30:00,"","9.89","","150","","-2.1978","","0.0","","114.6","","12.44","","730","","0.0114","","66","","10.5",""
5/24/2017,17:00:00,"","9.91","","150","","-2.1996","","0.0","","114.9","","12.48","","730","","0.0293","","69","","10.1",""
5/24/2017,17:30:00,"","9.92","","149","","-2.1978","","0.0","","114.5","","12.43","","730","","0.0182","","69","","10.3",""
5/24/2017,18:00:00,"","9.93","","149","","-2.1985","","0.0","","115.5","","12.53","","730","","0.0108","","69","","10.6",""
5/24/2017,18:30:00,"","9.95","","149","","-2.1983","","0.0","","115.0","","12.48","","730","","0.0393","","68","","10.5",""
5/24/2017,19:00:00,"","9.96","","149","","-2.1983","","0.0","","115.3","","12.50","","730","","0.0119","","69","","10.4",""
5/24/2017,19:30:00,"","9.96","","149","","-2.1982","","0.0","","115.4","","12.51","","730","","0.0127","","68","","10.5",""
5/24/2017,20:00:00,"","9.94","","149","","-2.1982","","0.0","","114.5","","12.42","","730","","0.0220","","66","","10.4",""
5/24/2017,20:30:00,"","9.94","","149","","-2.1976","","0.0","","114.3","","12.41","","730","","0.0179","","66","","10.6",""
5/24/2017,21:00:00,"","9.92","","150","","-2.1987","","0.0","","113.6","","12.33","","730","","0.0126","","69","","10.6",""
5/24/2017,21:30:00,"","9.91","","150","","-2.1983","","0.0","","113.1","","12.28","","730","","0.0186","","69","","10.5",""
5/24/2017,22:00:00,"","9.90","","150","","-2.1992","","0.0","","113.2","","12.30","","730","","0.0189","","64","","10.3",""
5/24/2017,22:30:00,"","9.88","","151","","-2.1993","","0.0","","112.6","","12.23","","730","","0.0188","","66","","10.4",""
5/24/2017,23:00:00,"","9.87","","153","","-2.1983","","0.0","","112.1","","12.18","","730","","0.0248","","66","","10.4",""
5/24/2017,23:30:00,"","9.86","","153","","-2.1987","","0.0","","111.9","","12.16","","730","","0.0133","","63","","10.4",""
5/25/2017,00:00:00,"","9.84","","154","","-2.1972","","0.0","","112.0","","12.18","","730","","0.0392","","61","","10.1",""
5/25/2017,00:30:00,"","9.83","","155","","-2.1984","","0.0","","112.0","","12.18","","730","","0.0162","","66","","10.4",""
5/25/2017,01:00:00,"","9.82","","155","","-2.1988","","0.0","","111.0","","12.08","","730","","0.1603","","64","","10.1",""
5/25/2017,01:30:00,"","9.81","","155","","-2.1986","","0.0","","110.7","","12.05","","730","","0.0123","","66","","10.4",""
5/25/2017,02:00:00,"","9.80","","155","","-2.1983","","0.0","","110.3","","12.01","","730","","0.0184","","66","","10.4",""
5/25/2017,02:30:00,"","9.78","","155","","-2.1979","","0.0","","110.2","","12.00","","730","","0.0455","","61","","10.5",""
5/25/2017,03:00:00,"","9.77","","155","","-2.1980","","0.0","","109.5","","11.93","","730","","0.0445","","64","","10.4",""
5/25/2017,03:30:00,"","9.75","","155","","-2.1983","","0.0","","109.6","","11.94","","730","","0.0198","","61","","10.2",""
5/25/2017,04:00:00,"","9.73","","155","","-2.1984","","0.0","","109.4","","11.92","","730","","0.0176","","63","","10.3",""
5/25/2017,04:30:00,"","9.71","","155","","-2.1980","","0.0","","108.6","","11.85","","730","","0.0114","","61","","10.2",""
5/25/2017,05:00:00,"","9.70","","155","","-2.1964","","0.0","","108.5","","11.84","","730","","0.0238","","58","","10.1",""
5/25/2017,05:30:00,"","9.67","","155","","-2.1982","","0.0","","107.6","","11.75","","730","","0.0261","","61","","10.2",""
5/25/2017,06:00:00,"","9.67","","155","","-2.1985","","0.0","","107.9","","11.79","","730","","0.0104","","60","","10.2",""
5/25/2017,06:30:00,"","9.66","","155","","-2.1987","","0.0","","107.4","","11.73","","730","","0.0211","","64","","10.3",""
