Hydrolab DS5X 60804
"Log File Name : Myvatn_33_MAY_2018"
"Setup Date (M/D/YYYY) : 5/21/2018"
"Setup Time (HH:MM:SS) : 14:29:03"
"Starting Date (M/D/YYYY) : 5/21/2018"
"Starting Time (HH:MM:SS) : 14:30:00"
"Stopping Date (M/D/YYYY) : 9/1/2018"
"Stopping Time (HH:MM:SS) : 15:29:03"
"Interval (HH:MM:SS) : 00:30:00"
"Sensor warmup (HH:MM:SS) : 00:02:00"
"Circltr warmup (HH:MM:SS) : 00:02:00"

"Date","Time","","Temp","","SpCond","","TurbSC","","TurbSC","","LDO%","","LDO","","BP","","PCYV","","IBatt","","IBatt",""
"M/D/YYYY","HH:MM:SS","","°C","","µS/cm","","Volts","","NTU","","Sat","","mg/l","","mmHg","","Volts","","%Left","","Volts",""

5/21/2018,15:00:00,"","21.07","","0","","-2.1750","","14.1","","87.2","","7.51","","736","","0.0179","","69","","10.6",""
5/21/2018,15:30:00,"","20.95","","0","","-2.1941","","2.5","","88.0","","7.60","","736","","0.0307","","66","","10.5",""
5/21/2018,16:00:00,"","21.05","","0","","-2.1948","","1.5","","88.2","","7.60","","736","","0.0193","","66","","10.4",""
5/21/2018,16:30:00,"","21.03","","0","","-2.1958","","1.2","","88.3","","7.61","","736","","0.0116","","64","","10.4",""
5/21/2018,17:00:00,"","20.77","","165","","-2.1981","","0.0","","102.0","","8.83","","736","","0.0030","","68","","10.5",""
5/21/2018,17:30:00,"","19.14","","166","","-2.1987","","0.0","","99.0","","8.86","","736","","0.0029","","68","","10.5",""
5/21/2018,18:00:00,"","17.67","","164","","-2.1990","","0.0","","96.4","","8.89","","736","","0.0030","","68","","10.5",""
5/21/2018,18:30:00,"","14.95","","162","","-2.1999","","0.0","","92.2","","9.01","","736","","0.0027","","68","","10.4",""
5/21/2018,19:00:00,"","11.62","","160","","-2.1998","","0.0","","89.6","","9.42","","736","","0.0030","","66","","10.4",""
5/21/2018,19:30:00,"","10.86","","161","","-2.2005","","0.0","","91.2","","9.76","","736","","0.0030","","66","","10.4",""
5/21/2018,20:00:00,"","10.35","","161","","-2.2006","","0.0","","90.0","","9.75","","736","","0.0030","","66","","10.4",""
5/21/2018,20:30:00,"","9.85","","160","","-2.2000","","0.0","","90.1","","9.87","","736","","0.0031","","66","","10.4",""
6/5/2018,11:00:00,"","14.41","","158","","-2.1902","","4.7","","113.3","","11.20","","736","","0.0259","","66","","10.4",""
6/5/2018,11:30:00,"","13.69","","156","","-2.1959","","1.3","","118.8","","11.93","","736","","0.0075","","94","","11.8",""
6/5/2018,12:00:00,"","13.77","","156","","-2.1967","","1.1","","117.3","","11.75","","736","","0.0062","","94","","11.7",""
6/5/2018,12:30:00,"","13.81","","156","","-2.1970","","0.9","","117.6","","11.77","","736","","0.0092","","93","","11.6",""
6/5/2018,13:00:00,"","13.84","","156","","-2.1967","","0.9","","118.9","","11.90","","736","","0.0095","","91","","11.6",""
6/5/2018,13:30:00,"","13.85","","156","","-2.1964","","1.0","","120.4","","12.05","","736","","0.0082","","91","","11.6",""
6/5/2018,14:00:00,"","13.88","","155","","-2.1964","","0.7","","121.3","","12.13","","736","","0.0101","","89","","11.5",""
6/5/2018,14:30:00,"","13.91","","155","","-2.1964","","0.7","","120.4","","12.02","","736","","0.0058","","89","","11.4",""
6/5/2018,15:00:00,"","13.94","","153","","-2.1960","","0.7","","118.6","","11.84","","736","","0.0184","","87","","11.4",""
6/5/2018,15:30:00,"","14.00","","152","","-2.1970","","0.4","","118.6","","11.83","","736","","0.0084","","87","","11.4",""
6/5/2018,16:00:00,"","14.45","","153","","-2.1967","","0.3","","119.8","","11.83","","736","","0.0048","","91","","11.6",""
6/5/2018,16:30:00,"","14.36","","153","","-2.1974","","0.3","","119.8","","11.85","","736","","0.0101","","89","","11.4",""
6/5/2018,17:00:00,"","14.47","","153","","-2.1967","","0.4","","119.8","","11.82","","736","","0.0141","","89","","11.5",""
6/5/2018,17:30:00,"","14.42","","153","","-2.1968","","0.4","","120.2","","11.87","","736","","0.0108","","89","","11.5",""
6/5/2018,18:00:00,"","14.42","","153","","-2.1968","","0.6","","121.5","","12.00","","736","","0.0117","","89","","11.4",""
6/5/2018,18:30:00,"","14.45","","153","","-2.1975","","0.3","","121.3","","11.98","","736","","0.0096","","86","","11.3",""
6/5/2018,19:00:00,"","14.45","","153","","-2.1971","","0.5","","122.8","","12.13","","736","","0.0165","","82","","11.1",""
6/5/2018,19:30:00,"","14.46","","152","","-2.1968","","0.4","","122.4","","12.08","","736","","0.0120","","86","","11.3",""
6/5/2018,20:00:00,"","14.47","","152","","-2.1964","","0.4","","122.1","","12.05","","736","","0.0073","","84","","11.4",""
6/5/2018,20:30:00,"","14.47","","151","","-2.1968","","0.5","","121.9","","12.03","","736","","0.0048","","86","","11.1",""
6/5/2018,21:00:00,"","14.44","","151","","-2.1970","","0.4","","121.5","","12.00","","736","","0.0089","","81","","11.1",""
6/5/2018,21:30:00,"","14.41","","151","","-2.1971","","0.5","","121.8","","12.04","","736","","0.0087","","86","","11.4",""
6/5/2018,22:00:00,"","14.40","","151","","-2.1982","","0.3","","122.0","","12.06","","736","","0.0093","","86","","11.1",""
6/5/2018,22:30:00,"","14.37","","151","","-2.1968","","0.3","","121.0","","11.96","","736","","0.0139","","84","","11.3",""
6/5/2018,23:00:00,"","14.34","","151","","-2.1967","","0.3","","120.8","","11.96","","736","","0.0186","","81","","11.2",""
6/5/2018,23:30:00,"","14.31","","151","","-2.1963","","0.3","","119.8","","11.87","","736","","0.0305","","84","","11.3",""
6/6/2018,00:00:00,"","14.31","","151","","-2.1972","","0.4","","120.0","","11.89","","736","","0.0163","","82","","11.2",""
6/6/2018,00:30:00,"","14.28","","152","","-2.1970","","0.5","","118.7","","11.76","","736","","0.0122","","82","","11.2",""
