STOD	TIMI	T	D	F	FX	FG
4300	2015-01-01 01:00:00	-2,7	166	1,5	3	6,3
4300	2015-01-01 02:00:00	-4,5	47	1,6	2,5	4,4
4300	2015-01-01 03:00:00	-4,2	77	1,5	3,8	4,7
4300	2015-01-01 04:00:00	-5,1	52	2,7	3	3,8
4300	2015-01-01 05:00:00	-8,2	319	2,9	3,5	4,2
4300	2015-01-01 06:00:00	-6	216	1,1	2,5	3,6
4300	2015-01-01 07:00:00	-6,9	276	1,5	2,1	3,4
4300	2015-01-01 08:00:00	-3,2	95	3,5	3,5	6
4300	2015-01-01 09:00:00	-5,4	167	2,9	5,3	6,7
4300	2015-01-01 10:00:00	-5	140	2,6	2,6	3,4
4300	2015-01-01 11:00:00	-4,6	245	0,2	2,1	2,6
4300	2015-01-01 12:00:00	-4,1	130	1	1	1,3
4300	2015-01-01 13:00:00	-3,8	53	0,8	1,3	1,9
4300	2015-01-01 14:00:00	-3,7	113	0,8	1,3	1,7
4300	2015-01-01 15:00:00	-4,2	27	0,5	0,6	1
4300	2015-01-01 16:00:00	-4	197	2,3	2,3	3,5
4300	2015-01-01 17:00:00	-4,7	208	0,1	2,1	2,7
4300	2015-01-01 18:00:00	-5,4	175	3	3	3,7
4300	2015-01-01 19:00:00	-5,7	155	1,5	1,9	2,4
4300	2015-01-01 20:00:00	-5,1	152	1,5	1,5	2
4300	2015-01-01 21:00:00	-5,3	164	2,6	3,4	4
4300	2015-01-01 22:00:00	-5,6	167	2,4	2,4	3,3
4300	2015-01-01 23:00:00	-5,4	131	1,7	2,2	2,5
4300	2015-01-02 00:00:00	-6	178	1,2	2	2,3
4300	2015-01-02 01:00:00	-6,1	191	2,6	2,6	2,8
4300	2015-01-02 02:00:00	-5,5	217	2	2,7	2,8
4300	2015-01-02 03:00:00	-5,8	279	1,2	2,4	2,6
4300	2015-01-02 04:00:00	-4,9	94	0,3	1,2	1,6
4300	2015-01-02 05:00:00	-6	341	0,4	2,4	3,3
4300	2015-01-02 06:00:00	-5,7	307	1,5	1,5	1,9
4300	2015-01-02 07:00:00	-6	301	1,6	2,3	2,7
4300	2015-01-02 08:00:00	-8	359	1,8	1,8	2,6
4300	2015-01-02 09:00:00	-7,6	305	1,4	1,9	2,3
4300	2015-01-02 10:00:00	-8,4	359	1,6	2,2	2,8
4300	2015-01-02 11:00:00	-8,5	314	0,5	1,6	1,8
4300	2015-01-02 12:00:00	-9,2	357	0,6	0,9	1,5
4300	2015-01-02 13:00:00	-9,2	195	2	2	2,4
4300	2015-01-02 14:00:00	-8,5	194	3,3	4,1	5,1
4300	2015-01-02 15:00:00	-7,5	201	3,3	3,8	4,4
4300	2015-01-02 16:00:00	-7,7	198	1,5	3,6	4,4
4300	2015-01-02 17:00:00	-7,8	111	0,2	1,3	2,8
4300	2015-01-02 18:00:00	-10,4	195	3,5	3,5	3,9
4300	2015-01-02 19:00:00	-10,8	16	0,7	3,1	3,6
4300	2015-01-02 20:00:00	-11,7	168	2,1	2,1	3,3
4300	2015-01-02 21:00:00	-10,4	196	0,6	2	2,4
4300	2015-01-02 22:00:00	-10,4	29	0,6	1	1,3
4300	2015-01-02 23:00:00	-11,9	35	1,2	1,8	2,6
4300	2015-01-03 00:00:00	-11,3	81	2,6	2,6	3,8
4300	2015-01-03 01:00:00	-11,6	46	1,4	2,8	3,4
4300	2015-01-03 02:00:00	-13	71	0,5	1,8	2,2
4300	2015-01-03 03:00:00	-7,6	200	8,1	8,1	9,4
4300	2015-01-03 04:00:00	-5,4	182	10,8	10,8	13,1
4300	2015-01-03 05:00:00	-5,3	183	10,4	11,4	14,3
4300	2015-01-03 06:00:00	-5,5	181	8,7	11,5	14,1
4300	2015-01-03 07:00:00	-5,6	181	10,2	10,8	12,5
4300	2015-01-03 08:00:00	-5,6	185	9,7	9,8	11,9
4300	2015-01-03 09:00:00	-4,3	173	8,9	9,7	12,3
4300	2015-01-03 10:00:00	-5,5	174	9,5	9,5	11,4
4300	2015-01-03 11:00:00	-5,4	154	8,2	10,9	13
4300	2015-01-03 12:00:00	-4,7	201	5,3	6,1	9,9
4300	2015-01-03 13:00:00	-4,9	199	7,2	7,2	9,7
4300	2015-01-03 14:00:00	-5,5	189	10	10	12,9
4300	2015-01-03 15:00:00	-4,9	211	8,8	11	12,4
4300	2015-01-03 16:00:00	-5,7	112	5,4	9,4	10,6
4300	2015-01-03 17:00:00	-4,7	179	9,9	9,9	12,8
4300	2015-01-03 18:00:00	-5,3	105	5	9,1	13,7
4300	2015-01-03 19:00:00	-5	165	10	10	13
4300	2015-01-03 20:00:00	-4,6	174	7,7	9,3	12,8
4300	2015-01-03 21:00:00	-5,2	200	7,7	9,3	11,1
4300	2015-01-03 22:00:00	-5	162	7,4	9,7	11,9
4300	2015-01-03 23:00:00	-5,4	188	10,1	10,1	12,1
4300	2015-01-04 00:00:00	-5,7	189	9,6	11	12,5
4300	2015-01-04 01:00:00	-5	172	8,1	8,6	10,2
4300	2015-01-04 02:00:00	-6,5	182	5,4	8,9	10,2
