STOD	TIMI	AR	MAN	DAGUR	KLST	T	D	F	FX	FG
4300	2018-01-01 01:00:00	2018	1	1	1	-5.3	0	0.0	0.0	0.0
4300	2018-01-01 02:00:00	2018	1	1	2	-4.8	0	0.0	0.0	0.0
4300	2018-01-01 03:00:00	2018	1	1	3	-6.4	0	0.0	0.0	0.0
4300	2018-01-01 04:00:00	2018	1	1	4	-9.0	0	0.0	0.0	0.0
4300	2018-01-01 05:00:00	2018	1	1	5	-6.3	0	0.0	0.0	0.0
4300	2018-01-01 06:00:00	2018	1	1	6	-5.0	0	0.0	0.0	0.0
4300	2018-01-01 07:00:00	2018	1	1	7	-5.5	0	0.0	0.0	0.0
4300	2018-01-01 08:00:00	2018	1	1	8	-4.9	0	0.0	0.0	0.0
4300	2018-01-01 09:00:00	2018	1	1	9	-4.2	0	0.0	0.0	0.0
4300	2018-01-01 10:00:00	2018	1	1	10	-4.0	0	0.0	0.0	0.0
4300	2018-01-01 11:00:00	2018	1	1	11	-1.0	41	0.7	0.7	1.1
4300	2018-01-01 12:00:00	2018	1	1	12	-0.6	38	8.8	9.4	11.6
4300	2018-01-01 13:00:00	2018	1	1	13	-0.2	48	10.1	10.4	13.1
4300	2018-01-01 14:00:00	2018	1	1	14	-0.5	48	10.2	10.2	13.2
4300	2018-01-01 15:00:00	2018	1	1	15	-1.0	51	10.6	12.4	15.6
4300	2018-01-01 16:00:00	2018	1	1	16	-1.0	53	11.2	11.5	16.0
4300	2018-01-01 17:00:00	2018	1	1	17	-1.2	57	10.5	11.0	14.0
4300	2018-01-01 18:00:00	2018	1	1	18	-1.3	58	11.6	12.7	15.7
4300	2018-01-01 19:00:00	2018	1	1	19	-1.2	60	10.4	10.9	14.1
4300	2018-01-01 20:00:00	2018	1	1	20	-1.4	70	10.6	11.4	14.8
4300	2018-01-01 21:00:00	2018	1	1	21	-1.7	69	13.4	13.7	17.7
4300	2018-01-01 22:00:00	2018	1	1	22	-1.5	75	7.8	13.5	17.0
4300	2018-01-01 23:00:00	2018	1	1	23	-1.5	78	7.1	8.6	11.8
