STOD	TIMI	AR	MAN	DAGUR	KLST	T	D	F	FX	FG
4300	2017-10-01 01:00:00	2017	10	1	1	6,5	197	0,2	1,5	2,8
4300	2017-10-01 02:00:00	2017	10	1	2	6,9	148	0,1	0,5	2,1
4300	2017-10-01 03:00:00	2017	10	1	3	6,3	65	0,7	1,3	2,6
4300	2017-10-01 04:00:00	2017	10	1	4	8,4	187	3	3	5,5
4300	2017-10-01 05:00:00	2017	10	1	5	8,3	178	2,4	3,2	4,7
4300	2017-10-01 06:00:00	2017	10	1	6	8,6	167	2,6	2,6	4
4300	2017-10-01 07:00:00	2017	10	1	7	7,4	110	2,4	2,7	3,9
4300	2017-10-01 08:00:00	2017	10	1	8	7	89	1	2,9	3,6
4300	2017-10-01 09:00:00	2017	10	1	9	9,4	127	0,7	1,7	2,2
4300	2017-10-01 10:00:00	2017	10	1	10	9,9	141	0,9	1,4	2,3
4300	2017-10-01 11:00:00	2017	10	1	11	10,7	134	1,4	2,1	4,4
4300	2017-10-01 12:00:00	2017	10	1	12	10,5	168	4,1	4,9	7
4300	2017-10-01 13:00:00	2017	10	1	13	11,6	139	2,4	4,8	7,6
4300	2017-10-01 14:00:00	2017	10	1	14	10,9	101	3,9	4,4	6,7
4300	2017-10-01 15:00:00	2017	10	1	15	11,5	98	3,3	3,3	5,2
4300	2017-10-01 16:00:00	2017	10	1	16	9,8	116	3,7	3,7	5,6
4300	2017-10-01 17:00:00	2017	10	1	17	9,6	105	4,1	4,1	5,7
4300	2017-10-01 18:00:00	2017	10	1	18	8,5	102	2,8	4,5	6,4
4300	2017-10-01 19:00:00	2017	10	1	19	6,6	82	2,8	3	3,8
4300	2017-10-01 20:00:00	2017	10	1	20	4,8	73	2,5	3,1	3,5
4300	2017-10-01 21:00:00	2017	10	1	21	5,1	50	2,5	2,6	3,4
4300	2017-10-01 22:00:00	2017	10	1	22	4,7	108	1,9	3,2	3,6
4300	2017-10-01 23:00:00	2017	10	1	23	4,4	144	1,7	2,2	2,6
4300	2017-10-02 00:00:00	2017	10	1	24	4,5	238	0,5	1,5	1,8
4300	2017-10-02 01:00:00	2017	10	2	1	4,2	61	0,1	0,3	0,7
4300	2017-10-02 02:00:00	2017	10	2	2	3,8	100	0,9	0,9	2,2
4300	2017-10-02 03:00:00	2017	10	2	3	4,1	168	1	1,3	2,1
4300	2017-10-02 04:00:00	2017	10	2	4	4,2	0	0	1	1,7
4300	2017-10-02 05:00:00	2017	10	2	5	3,2	339	0,3	1,2	1,9
4300	2017-10-02 06:00:00	2017	10	2	6	3,8	112	0,1	0,1	0,6
4300	2017-10-02 07:00:00	2017	10	2	7	4,2	255	0	0,1	0,6
4300	2017-10-02 08:00:00	2017	10	2	8	4,4	329	0,7	0,7	1,6
4300	2017-10-02 09:00:00	2017	10	2	9	5,5	332	3,3	3,4	5,4
4300	2017-10-02 10:00:00	2017	10	2	10	6,1	326	4,2	4,7	6,9
4300	2017-10-02 11:00:00	2017	10	2	11	6	324	5,2	5,2	7,1
4300	2017-10-02 12:00:00	2017	10	2	12	6	347	5,3	6	9,1
4300	2017-10-02 13:00:00	2017	10	2	13	6	326	3,4	5	7,9
4300	2017-10-02 14:00:00	2017	10	2	14	6,4	322	5,3	7	9,4
4300	2017-10-02 15:00:00	2017	10	2	15	6,3	323	3,4	5,8	8,8
4300	2017-10-02 16:00:00	2017	10	2	16	6,4	324	7,5	7,5	11,3
4300	2017-10-02 17:00:00	2017	10	2	17	5,6	333	6,6	8,7	11,7
4300	2017-10-02 18:00:00	2017	10	2	18	5,3	331	4,5	6,1	8,9
4300	2017-10-02 19:00:00	2017	10	2	19	4,9	334	3,1	4,4	6,9
4300	2017-10-02 20:00:00	2017	10	2	20	4,5	344	2,6	2,7	4,1
4300	2017-10-02 21:00:00	2017	10	2	21	4	336	3,1	3,9	5,3
4300	2017-10-02 22:00:00	2017	10	2	22	3,9	325	1,2	2,8	3,6
4300	2017-10-02 23:00:00	2017	10	2	23	4	0	0	0,7	1,2
4300	2017-10-03 00:00:00	2017	10	2	24	4	327	2,1	2,2	3,3
4300	2017-10-03 01:00:00	2017	10	3	1	4	302	0,6	1,9	2,7
4300	2017-10-03 02:00:00	2017	10	3	2	3,9	0	0	0,1	0,8
4300	2017-10-03 03:00:00	2017	10	3	3	3,5	3	0	1	1,7
4300	2017-10-03 04:00:00	2017	10	3	4	3,9	264	0,7	1	1,5
4300	2017-10-03 05:00:00	2017	10	3	5	4	257	0,8	1,2	1,7
4300	2017-10-03 06:00:00	2017	10	3	6	4,5	223	3	3	3,8
4300	2017-10-03 07:00:00	2017	10	3	7	4,6	230	0,9	2,9	3,9
4300	2017-10-03 08:00:00	2017	10	3	8	4,6	240	2	2,7	3,3
