Date_Time,temp,wdir,wspeed,wspeedbw,gust,RADGL
2010-05-01T00:00:00Z,-3.5,122,1.6,2.2,2.8,0
2010-05-01T01:00:00Z,-5.3,16,2,2.6,3,0
2010-05-01T02:00:00Z,-4.4,82,1.9,1.9,2.5,0
2010-05-01T03:00:00Z,-3.5,80,2.6,2.6,3.1,0
2010-05-01T04:00:00Z,-4.1,74,2.2,2.5,2.9,0
2010-05-01T05:00:00Z,-1.7,82,1.7,2.2,2.6,5.98
2010-05-01T06:00:00Z,-0.8,41,1.1,1.8,2.7,67.25
2010-05-01T07:00:00Z,1.3,19,0.1,1,1.3,128.52
2010-05-01T08:00:00Z,2.6,222,1.1,1.1,1.7,215.05
2010-05-01T09:00:00Z,3.3,224,1.3,1.7,2,335.53
2010-05-01T10:00:00Z,2.6,197,1.7,1.7,2.4,446.1
2010-05-01T11:00:00Z,4.4,303,1.8,2.2,6,493.9
2010-05-01T12:00:00Z,3.8,314,3.8,4.3,6.7,585.08
2010-05-01T13:00:00Z,4.3,352,4.2,4.2,6,686.72
2010-05-01T14:00:00Z,3.7,15,4.1,4.4,6.9,670.27
2010-05-01T15:00:00Z,3.9,31,2.3,4.1,5.7,655.63
2010-05-01T16:00:00Z,4.1,21,4,4,5.6,592.4
2010-05-01T17:00:00Z,4.2,41,2.2,3.4,4.7,465.83
2010-05-01T18:00:00Z,3.6,49,1.4,2.2,3.3,372
2010-05-01T19:00:00Z,3.4,304,0.6,0.9,2.3,123.08
2010-05-01T20:00:00Z,2.7,254,0.8,1.3,2.1,46.6
2010-05-01T21:00:00Z,1.9,224,1.5,1.5,2.5,32.72
2010-05-01T22:00:00Z,1.1,244,2.1,2.6,3.2,5.17
2010-05-01T23:00:00Z,0.4,274,1,1.4,2.5,0
2010-05-02T00:00:00Z,-1.4,290,1.4,2.9,4.3,0
2010-05-02T01:00:00Z,-0.9,345,1.5,3,3.6,0
2010-05-02T02:00:00Z,-1.7,321,2.5,2.9,3.1,0
2010-05-02T03:00:00Z,-2.1,201,3.1,3.1,3.6,0
2010-05-02T04:00:00Z,-3.3,355,0.6,3.3,3.8,0
2010-05-02T05:00:00Z,-1.1,141,1.7,1.7,2.2,4.33
2010-05-02T06:00:00Z,-0.5,164,3,3,3.8,46.22
2010-05-02T07:00:00Z,0.7,197,2.1,2.6,3.4,141.95
2010-05-02T08:00:00Z,2.9,165,0.2,2.4,3.2,209.28
2010-05-02T09:00:00Z,3.6,92,2.7,2.7,3.9,326.25
2010-05-02T10:00:00Z,4,174,0.8,2.3,3.4,194.57
2010-05-02T11:00:00Z,4.6,181,3.5,3.5,4.8,229.5
2010-05-02T12:00:00Z,6.4,159,3.8,4.8,6.3,369.38
2010-05-02T13:00:00Z,5.9,173,4.4,5.1,7.2,467.9
2010-05-02T14:00:00Z,5.4,183,2.4,4.6,6.7,376.07
2010-05-02T15:00:00Z,7,193,1.7,2,3.6,397.92
2010-05-02T16:00:00Z,7.2,284,3.5,3.5,5.2,459.62
2010-05-02T17:00:00Z,6.4,326,2.4,3.1,5.1,168.62
2010-05-02T18:00:00Z,5.8,133,1.5,1.9,2.8,113.27
2010-05-02T19:00:00Z,5.7,189,2.3,2.3,3.4,78.52
2010-05-02T20:00:00Z,3.6,193,3.5,3.5,4.4,83.48
2010-05-02T21:00:00Z,2.8,191,3.9,3.9,4.6,28.48
2010-05-02T22:00:00Z,3.4,180,5.2,5.2,6.5,4.22
2010-05-02T23:00:00Z,3,191,6.5,6.5,7.5,0
2010-05-03T00:00:00Z,2.9,175,5.2,6,6.7,0
2010-05-03T01:00:00Z,2.6,190,5,6,7,0
2010-05-03T02:00:00Z,2.6,208,3,5.4,6.5,0
2010-05-03T03:00:00Z,3,208,2.2,2.8,3.9,0
2010-05-03T04:00:00Z,2.8,187,5,5,5.8,0
2010-05-03T05:00:00Z,3.6,177,5.3,5.3,7.4,2.73
2010-05-03T06:00:00Z,3.5,168,7,7.1,9.4,12.93
2010-05-03T07:00:00Z,2.9,185,7.1,7.8,9.2,31.67
2010-05-03T08:00:00Z,4,182,8,8,9.7,70.82
2010-05-03T09:00:00Z,4.2,183,8.1,8.1,9.8,128.98
2010-05-03T10:00:00Z,4.1,182,7.9,7.9,9.6,141.85
2010-05-03T11:00:00Z,4.2,180,7.9,7.9,10.2,112.43
2010-05-03T12:00:00Z,4.7,184,7.6,7.6,9.2,148.92
2010-05-03T13:00:00Z,4.5,183,5.7,8.1,9.3,218.63
2010-05-03T14:00:00Z,4.6,183,5.5,6.6,8,223.37
2010-05-03T15:00:00Z,5.3,177,7.1,7.1,8.5,197.33
2010-05-03T16:00:00Z,5.5,172,6.9,7.4,9.3,190.92
2010-05-03T17:00:00Z,5.5,171,9.2,9.3,11.4,112.03
2010-05-03T18:00:00Z,5.5,171,8.7,9.7,11.6,122.85
2010-05-03T19:00:00Z,5.7,172,8.5,9.6,13.2,84.85
2010-05-03T20:00:00Z,5.8,174,9.4,10.3,13.6,49.08
2010-05-03T21:00:00Z,6.1,183,11.3,11.8,14.1,32.57
2010-05-03T22:00:00Z,5.9,180,9.1,10.5,13.7,4.33
2010-05-03T23:00:00Z,5.6,170,6.6,9.4,12,0.2
2010-05-04T00:00:00Z,7,183,8.7,8.9,11.2,0
2010-05-04T01:00:00Z,6.6,159,6.3,6.8,9.3,0
2010-05-04T02:00:00Z,6.1,165,4.6,5.9,7.5,0
2010-05-04T03:00:00Z,5.9,165,6.2,7.4,9.1,0
2010-05-04T04:00:00Z,5,180,6.9,8.7,11.4,0
2010-05-04T05:00:00Z,5.8,183,6.8,7.6,9.8,4.9
