type,seed,year,month,yday,hour,par,wspeed,temp,do_eq,sch_conv,do,T_S,D_M
fixed_all,3,2012,6,163,1,19.99131545107153,3.9,10.219999999999999,10420.132712945036,0.42181170648478233,12625.46389183266,1,1
fixed_all,3,2012,6,163,2,6.342035608316466,2.6,10.155000000000001,10438.468075467956,0.4225548887980786,12542.987521628796,1,1
fixed_all,3,2012,6,163,3,6.276955304871227,2.4,10.11,10451.191601696277,0.42307097884840883,12309.56689296834,1,1
fixed_all,3,2012,6,163,4,13.701361989681446,2.1,10.05,10468.194368999833,0.4237611153942878,12285.337098675493,1,1
fixed_all,3,2012,6,163,5,35.84569621771254,2,10.004999999999999,10480.975074046557,0.42428023451052693,12274.752168883657,1,1
fixed_all,3,2012,6,163,6,69.63290938203704,2,9.99,10485.240774585869,0.42445356377536064,12265.662756292046,1,1
fixed_all,3,2012,6,163,7,102.42771790964773,1.8,9.98,10488.086095139548,0.42456919715921165,12241.558801632564,1,1
fixed_all,3,2012,6,163,8,171.10749671668702,2.2,9.95,10496.6293612595,0.4249164843111673,12354.137055529252,1,1
fixed_all,3,2012,6,163,9,236.50688717200268,1.9,9.940000000000001,10499.479553736886,0.42503237581815456,12400.987145078692,1,1
fixed_all,3,2012,6,163,10,334.0291574130081,2.7,10.015,10478.13279288383,0.424164762154199,12344.201245030605,1,1
fixed_all,3,2012,6,163,11,618.7207802995985,2.7,10.115,10449.776669596584,0.42301357157400077,12384.245063978731,1,1
fixed_all,3,2012,6,163,12,765.3206657150466,3.6,10.33,10389.21910409711,0.4205601288115743,12367.037364588494,1,1
fixed_all,3,2012,6,163,13,826.8614350402796,4.7,10.635,10304.256555109814,0.41712968531975597,12276.313194713324,1,1
fixed_all,3,2012,6,163,14,823.3808273918537,5.1,10.685,10290.43287603385,0.41657285413465467,12356.890451819214,1,1
fixed_all,3,2012,6,163,15,855.0103100158959,4.5,10.82,10253.254791337096,0.41507712583808526,12386.502241519187,1,1
fixed_all,3,2012,6,163,16,851.2389433303501,4.8,10.925,10224.484874434605,0.4139215227938633,12354.810777768884,1,1
fixed_all,3,2012,6,163,17,772.370967154362,3.2,11.04,10193.1209510929,0.4126635800067667,12492.656417580301,1,1
fixed_all,3,2012,6,163,18,706.0783135046669,3.5,11.16,10160.55507444799,0.4113594886925368,12638.861054556046,1,1
fixed_all,3,2012,6,163,19,609.4002209928761,3.6,11.254999999999999,10134.890155525594,0.41033323144385203,12611.245295265691,1,1
fixed_all,3,2012,6,163,20,499.1997379189994,5.2,11.27,10130.847163093415,0.41017168524171954,12660.794393190343,1,1
fixed_all,3,2012,6,163,21,373.56554650590977,4,11.245000000000001,10137.58690024586,0.4104410036965459,12625.66300690548,1,1
fixed_all,3,2012,6,163,22,263.4408666270947,4.6,11.245000000000001,10137.58690024586,0.4104410036965459,12603.480657320162,1,1
fixed_all,3,2012,6,163,23,142.43740575979254,4.4,11.205,10148.385224233149,0.41087269176035457,12619.701254797745,1,1
fixed_all,3,2012,6,163,24,83.43048061082833,1.2,11.17,10157.848671634567,0.41125120640654905,12588.637336074557,1,1
fixed_all,3,2012,6,164,1,21.926633970033947,3.1,11.16,10160.55507444799,0.4113594886925368,12555.034120026885,1,2
fixed_all,3,2012,6,164,2,6.112946736016033,2,11.205,10148.385224233149,0.41087269176035457,12425.34244763692,1,2
fixed_all,3,2012,6,164,3,5.4408088456907135,2.6,11.21,10147.034440210793,0.4108186782881967,12409.403796990113,1,2
fixed_all,3,2012,6,164,4,14.413800088693412,2,11.15,10163.262616510185,0.4114678311528919,12602.989806117197,1,2
fixed_all,3,2012,6,164,5,41.112737910317364,2,11.11,10174.104189922544,0.41190180345660876,12516.601233285191,1,2
fixed_all,3,2012,6,164,6,77.15531575577643,3.2,11.055,10189.041207420112,0.4125000925952711,12458.114410893319,1,2
fixed_all,3,2012,6,164,7,131.12231307922195,4.1,11.02,10198.564623770544,0.412881775364668,12488.140854875694,1,2
fixed_all,3,2012,6,164,8,179.97326156605493,3.4,11.004999999999999,10202.650391908861,0.41304558114777085,12378.91001243646,1,2
fixed_all,3,2012,6,164,9,372.8344496723357,2.4,11.059999999999999,10187.681865929768,0.41244562707349314,12199.79990905578,1,2
fixed_all,3,2012,6,164,10,485.1596138586851,3,11.085,10180.889452893418,0.4121735263773678,12264.529661527693,1,2
fixed_all,3,2012,6,164,11,533.6339793995355,3.6,11.125,10170.036460037312,0.41173895080240824,12029.782950547045,1,2
fixed_all,3,2012,6,164,12,793.0534362252298,2.8,11.190000000000001,10152.43928122119,0.4110348222140385,12134.200788574231,1,2
fixed_all,3,2012,6,164,13,789.6315765666304,5.1,11.309999999999999,10120.078299559556,0.40974155262079903,12231.177128580233,1,2
