gamma_1,gamma_2,k0,k1,sig_beta0,sig_alpha,sig_rho,sig_proc,lp__,chain,step
1.16675825699365,1.0787281540596827,4.743044635139916,0.46093061232195665,0.04600010541422625,0.16371095085166157,0.015992190013493002,95.22382838730476,-6827.893686327173,1,1
1.1040722376954835,1.1264262245453194,1.8785071095573695,0.553723823884579,0.0591799470916671,0.044014808458797815,0.04344413872515753,91.22235598360155,-6832.497312020663,1,2
1.0743015273049596,1.0978055326273857,2.4607212505441836,0.6562838000553748,0.0435337333744115,0.03541890917265006,0.0674292833271847,96.88308099232913,-6799.51121128527,1,3
1.1181658841277706,1.1374985316442063,5.612294544693112,0.4158314803884458,0.030302713404503287,0.24913298907668066,0.08027202366462477,92.40365375701218,-6855.858907965524,1,4
1.0413298217085465,1.0379496580479695,5.550950559630025,0.5522688071253353,0.0286201511677359,0.028914746170680003,0.028806897814024627,90.48516010489827,-6845.974273335413,1,5
1.0502874399231554,1.0874704749102833,5.487234301914847,0.5997873693799832,0.029862481051177177,0.005210176231600106,0.018692133654476535,94.17640589503931,-6826.39385628864,1,6
1.078806087373834,1.0792242869620696,5.836731265199062,0.5630765019139894,0.020863623413428987,0.05830920663664547,0.01957020928692067,93.86022483576866,-6891.218123761747,1,7
1.1058015807841715,1.062173026599595,6.127965572236684,0.5233166188764193,0.06527455292925284,0.027747499259022177,0.07914138276309478,93.95218372452358,-6849.496399152733,1,8
1.0445946653844569,1.1329531036258416,1.7759185285316959,0.41608666376862846,0.029416201722270312,0.14242894967425396,0.0025455930315131307,93.94306476460076,-6857.084306207214,1,9
1.059190012087838,1.0323231107507334,4.4723229761630945,0.5064801881578338,0.05363732066150031,0.034049979744058566,0.06227218311596931,90.988533519025,-6830.151500444396,1,10
1.07046660407944,1.1064741230300073,5.728573341783949,0.46264790553335067,0.04943755512400172,0.07067029906921882,0.16806102318401187,96.23073517360089,-6853.718646533057,1,11
1.0791162170623803,1.044283267600503,3.6423339366955436,0.5788390827744417,0.03666776994115099,0.15747842366179432,0.039340842158681534,90.8323974864495,-6822.666717091373,1,12
